,Method,Metric,Mean Privacy Risk,Error
0,orig,entire_dataset_mia_privacy_risk,0.5029646615617707,0.001237373282083869
1,orig,entire_dataset_label_0.0_mia_privacy_risk,0.5036718769371384,0.001343258071141972
2,orig,entire_dataset_label_1.0_mia_privacy_risk,0.5072414532183078,0.004061032703985645
3,orig,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5090932559408827,0.0050031391133709205
4,orig,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5231671731841426,0.007952845650067012
5,orig,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5034685601688064,0.001238040142728042
6,orig,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5063759008844122,0.004680625232851526
7,transf,entire_dataset_mia_privacy_risk,0.5026984971950371,0.001441858069135464
8,transf,entire_dataset_label_0.0_mia_privacy_risk,0.5033185412519009,0.001301178666844297
9,transf,entire_dataset_label_1.0_mia_privacy_risk,0.5066791622312232,0.004443044921122883
10,transf,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5086270422922565,0.004145164007622655
11,transf,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5223130513022578,0.008841462732569527
12,transf,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5032288531444038,0.00120523290410669
13,transf,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5059752436587857,0.004719237525047906
14,dir,entire_dataset_mia_privacy_risk,0.5029636378526678,0.0012394091654068934
15,dir,entire_dataset_label_0.0_mia_privacy_risk,0.50367053140218,0.001344356861178576
16,dir,entire_dataset_label_1.0_mia_privacy_risk,0.5072414532183078,0.004061032703985645
17,dir,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5090830516465321,0.004986653478850934
18,dir,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5231671731841426,0.007952845650067012
19,dir,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5034685601688064,0.001238040142728042
20,dir,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5063759008844122,0.004680625232851526
21,rew,entire_dataset_mia_privacy_risk,0.5027742516686459,0.0013150117074968279
22,rew,entire_dataset_label_0.0_mia_privacy_risk,0.5034518775368853,0.001389177093551735
23,rew,entire_dataset_label_1.0_mia_privacy_risk,0.5069760918800853,0.004107952143046314
24,rew,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5089868395563152,0.004597427892702301
25,rew,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5220920600413839,0.009076364905723734
26,rew,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5033438996217161,0.001218518415557462
27,rew,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5065489885408555,0.004685729207881002
28,eg,entire_dataset_mia_privacy_risk,0.5026565251218214,0.0013649721853826325
29,eg,entire_dataset_label_0.0_mia_privacy_risk,0.5033307163156816,0.001350231459868943
30,eg,entire_dataset_label_1.0_mia_privacy_risk,0.506852260534613,0.0038545153683222015
31,eg,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5076355475722112,0.004012724920395901
32,eg,subpopulation_0.0_label_1.0_mia_privacy_risk,0.521049130958074,0.007146719903166532
33,eg,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5035201933147114,0.0012188865470692187
34,eg,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5065396535801834,0.004734382672230015
