,Method,Metric,Mean Privacy Risk,Error
0,orig,entire_dataset_mia_privacy_risk,0.5032113754555505,0.001154651294831626
1,orig,entire_dataset_label_0.0_mia_privacy_risk,0.5035543466776506,0.0018602642737124344
2,orig,entire_dataset_label_1.0_mia_privacy_risk,0.5074205600009046,0.0034785468043513094
3,orig,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5044707294610771,0.003087941061394399
4,orig,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5204237567858689,0.008549074659791121
5,orig,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5041690820323084,0.0018539441760809581
6,orig,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5066443795562992,0.003955889071242304
7,transf,entire_dataset_mia_privacy_risk,0.5034058801850865,0.0012767693674981362
8,transf,entire_dataset_label_0.0_mia_privacy_risk,0.5037393460652526,0.002289253286059204
9,transf,entire_dataset_label_1.0_mia_privacy_risk,0.507043017219466,0.003829447462772729
10,transf,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5048832574211917,0.0031210662113127998
11,transf,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5174890074980707,0.006089260023769998
12,transf,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5042795874807227,0.002170987276970741
13,transf,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5066544545485961,0.004493020788447325
14,dir,entire_dataset_mia_privacy_risk,0.5032123991646532,0.0011563816346507317
15,dir,entire_dataset_label_0.0_mia_privacy_risk,0.5035556946728329,0.0018599490660427523
16,dir,entire_dataset_label_1.0_mia_privacy_risk,0.5074248378927595,0.0034731969585306416
17,dir,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5044743269460207,0.0030789296939148967
18,dir,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5204237567858689,0.008549074659791121
19,dir,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5041690820323084,0.0018539441760809581
20,dir,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5066443795562992,0.003955889071242304
21,rew,entire_dataset_mia_privacy_risk,0.5030445108717907,0.0008992486284445668
22,rew,entire_dataset_label_0.0_mia_privacy_risk,0.5033345017527434,0.0018362215589779285
23,rew,entire_dataset_label_1.0_mia_privacy_risk,0.5083557487089798,0.0037244110814387416
24,rew,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5047373261952337,0.00344899859182145
25,rew,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5200720089255577,0.00834544028168358
26,rew,subpopulation_1.0_label_0.0_mia_privacy_risk,0.504215704005026,0.001978567067933394
27,rew,subpopulation_1.0_label_1.0_mia_privacy_risk,0.507191607157988,0.004066370097588134
28,eg,entire_dataset_mia_privacy_risk,0.5029585193071537,0.0011697475383272047
29,eg,entire_dataset_label_0.0_mia_privacy_risk,0.5032749664727544,0.0019287512633166728
30,eg,entire_dataset_label_1.0_mia_privacy_risk,0.5077803153452882,0.0039740486404073
31,eg,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5049603042090984,0.0035134356065443157
32,eg,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5196805708077372,0.008226568406389394
33,eg,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5040889430990451,0.0020997577631506493
34,eg,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5068621024508071,0.0042447487849933945
