,Method,Metric,Mean,Error
0,orig,bal_acc,0.8310906237492193,0.006075059349025422
1,orig,avg_odds_diff,0.12411590995685298,0.01818667704798776
2,orig,disp_imp,0.5856370002035758,0.024304014042025576
3,orig,stat_par_diff,0.3074921203461638,0.02102495864819685
4,orig,eq_opp_diff,0.008314048124605755,0.02180387145956794
5,orig,theil_ind,0.062049745379140805,0.0019834225308744866
6,orig,unpriv_fpr,0.38103808430305586,0.04308700607004438
7,orig,unpriv_fnr,0.17899875885340732,0.027267542299885674
8,orig,priv_fpr,0.1411203125139557,0.020096680489552113
9,orig,priv_fnr,0.18731280697801306,0.023651012169085318
10,transf,bal_acc,0.834478284759997,0.007782389738746654
11,transf,avg_odds_diff,0.1168457182814974,0.05137490113400398
12,transf,disp_imp,0.5577780877716957,0.048302482855016544
13,transf,stat_par_diff,0.31476194328384505,0.056247414986284966
14,transf,eq_opp_diff,-0.03236712256127029,0.0481698547022652
15,transf,theil_ind,0.06201627974024558,0.0021745862175076886
16,transf,unpriv_fpr,0.43362036130678155,0.0674873523632339
17,transf,unpriv_fnr,0.1792621824228802,0.0557127282047005
18,transf,priv_fpr,0.1675618021825163,0.017485328271726452
19,transf,priv_fnr,0.14689505986160992,0.022437805043603556
20,dir,bal_acc,0.8190024293016365,0.007062806851221544
21,dir,avg_odds_diff,0.12841400061381375,0.04738871328940747
22,dir,disp_imp,0.5796581293221552,0.053792455385244575
23,dir,stat_par_diff,0.32336437673508506,0.043351023417083676
24,dir,eq_opp_diff,-0.031321272241473165,0.0664736444583885
25,dir,theil_ind,0.0657201077715136,0.002017434882932375
26,dir,unpriv_fpr,0.4469727145788254,0.05119826792105523
27,dir,unpriv_fnr,0.21678335938035623,0.05774231416152097
28,dir,priv_fpr,0.15882344110972488,0.030706321993929135
29,dir,priv_fnr,0.18546208713888304,0.03746984306108657
30,rew,bal_acc,0.830132795464328,0.006469842529131722
31,rew,avg_odds_diff,0.0995167432626589,0.030895849952383734
32,rew,disp_imp,0.5550506740353403,0.028800688673492326
33,rew,stat_par_diff,0.2883753899093907,0.027976936485700023
34,rew,eq_opp_diff,-0.030333700223158715,0.04461927369730918
35,rew,theil_ind,0.06270855405785793,0.0018481282577152186
36,rew,unpriv_fpr,0.38327894999613854,0.04359405145229498
37,rew,unpriv_fnr,0.20136412085537553,0.05162986598832497
38,rew,priv_fpr,0.15391176324766204,0.022233324731610486
39,rew,priv_fnr,0.1710304206322169,0.026492103166117057
40,eg,bal_acc,0.8007743039128019,0.01271184687990593
41,eg,avg_odds_diff,0.04569175996523139,0.04058342808156764
42,eg,disp_imp,0.5875029480793745,0.046530131961958356
43,eg,stat_par_diff,0.2038132945127419,0.03219249450258915
44,eg,eq_opp_diff,-0.032796760859497044,0.06479962147814788
45,eg,theil_ind,0.06453380503756626,0.0028052958267248385
46,eg,unpriv_fpr,0.19558982902035965,0.026534181619428623
47,eg,unpriv_fnr,0.3495345199418539,0.0546637491871064
48,eg,priv_fpr,0.07140954823039981,0.006791464500785492
49,eg,priv_fnr,0.3167377590823569,0.03493720017630331
