,Method,Metric,Mean Privacy Risk,Error
0,orig,entire_dataset_mia_privacy_risk,0.5811244329228774,0.005879765797861712
1,orig,entire_dataset_label_0.0_mia_privacy_risk,0.5772548009273935,0.007913262157168118
2,orig,entire_dataset_label_1.0_mia_privacy_risk,0.5928982497271702,0.006633108066957035
3,orig,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5799749115339831,0.008777745987536082
4,orig,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5849531990869432,0.006948254702083326
5,orig,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5805303899364598,0.013352597909238805
6,orig,subpopulation_1.0_label_1.0_mia_privacy_risk,0.6185655203871423,0.013803604241588913
7,transf,entire_dataset_mia_privacy_risk,0.5811568373298769,0.005623158579506799
8,transf,entire_dataset_label_0.0_mia_privacy_risk,0.5773456688469494,0.007804036894549142
9,transf,entire_dataset_label_1.0_mia_privacy_risk,0.5931851788834823,0.00620756422403024
10,transf,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5800972472102387,0.008800204230619241
11,transf,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5848026535718955,0.006874677069632491
12,transf,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5797202024058434,0.012712182989593233
13,transf,subpopulation_1.0_label_1.0_mia_privacy_risk,0.620066397171379,0.01386345378397442
14,dir,entire_dataset_mia_privacy_risk,0.588253402462735,0.006184176754852401
15,dir,entire_dataset_label_0.0_mia_privacy_risk,0.5866861012608521,0.01013604902861524
16,dir,entire_dataset_label_1.0_mia_privacy_risk,0.5958100795354196,0.016369048340448694
17,dir,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5853596628635285,0.014128992228647712
18,dir,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5861474253033145,0.019098620911895643
19,dir,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5969217164298954,0.010119938309503449
20,dir,subpopulation_1.0_label_1.0_mia_privacy_risk,0.6280930139468518,0.02262225295939201
21,rew,entire_dataset_mia_privacy_risk,0.5854342190537913,0.007541672550230037
22,rew,entire_dataset_label_0.0_mia_privacy_risk,0.5805100296796126,0.009715714200133339
23,rew,entire_dataset_label_1.0_mia_privacy_risk,0.5961549969844135,0.008287920630593382
24,rew,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5808705993287084,0.010409857258470715
25,rew,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5835889251892838,0.008122887715693307
26,rew,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5860186649695919,0.01134136320049555
27,rew,subpopulation_1.0_label_1.0_mia_privacy_risk,0.6310227530378834,0.016880142941297194
28,eg,entire_dataset_mia_privacy_risk,0.5553305249513935,0.003804659137794038
29,eg,entire_dataset_label_0.0_mia_privacy_risk,0.5536178074775415,0.004773542998752199
30,eg,entire_dataset_label_1.0_mia_privacy_risk,0.5639055110738207,0.007571441647345217
31,eg,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5548305846367685,0.005902065769772329
32,eg,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5558647377381561,0.008932130834618331
33,eg,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5592008995562419,0.009824476920316766
34,eg,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5935415255851406,0.01156941433509365
