,Method,Metric,Mean Privacy Risk,Error
0,orig,entire_dataset_mia_privacy_risk,0.58149708360337,0.006046563452145823
1,orig,entire_dataset_label_0.0_mia_privacy_risk,0.5772000649362663,0.008684293425017328
2,orig,entire_dataset_label_1.0_mia_privacy_risk,0.5930538028908933,0.008117404468724642
3,orig,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5786786617642864,0.007754676010126451
4,orig,subpopulation_0.0_label_1.0_mia_privacy_risk,0.585367997376359,0.009540742777187361
5,orig,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5828993530714474,0.014139857301276777
6,orig,subpopulation_1.0_label_1.0_mia_privacy_risk,0.647938033556446,0.02665728744831914
7,transf,entire_dataset_mia_privacy_risk,0.5814241736876216,0.006492484368983507
8,transf,entire_dataset_label_0.0_mia_privacy_risk,0.5771988411998146,0.00868353056254415
9,transf,entire_dataset_label_1.0_mia_privacy_risk,0.5929609023007318,0.00916729154576409
10,transf,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5783125512156059,0.0078081234537914525
11,transf,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5853079429805894,0.01053473676540756
12,transf,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5836584093343958,0.014495826769495488
13,transf,subpopulation_1.0_label_1.0_mia_privacy_risk,0.6477011067462018,0.027753295928572036
14,dir,entire_dataset_mia_privacy_risk,0.585247893713545,0.007273114070788659
15,dir,entire_dataset_label_0.0_mia_privacy_risk,0.580208703464274,0.013197268352018551
16,dir,entire_dataset_label_1.0_mia_privacy_risk,0.60067362231223,0.01782363603160682
17,dir,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5778071712460863,0.016430605094675595
18,dir,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5937823625502414,0.022438396428168982
19,dir,subpopulation_1.0_label_0.0_mia_privacy_risk,0.602665156867324,0.02248446725486694
20,dir,subpopulation_1.0_label_1.0_mia_privacy_risk,0.6551634010566951,0.030359639679587515
21,rew,entire_dataset_mia_privacy_risk,0.5815375891121194,0.006634656823010715
22,rew,entire_dataset_label_0.0_mia_privacy_risk,0.5749321907580314,0.006061822442499283
23,rew,entire_dataset_label_1.0_mia_privacy_risk,0.5944943365206642,0.010680358846324775
24,rew,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5766553812282103,0.006491686971845981
25,rew,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5864020852136499,0.010551334886560144
26,rew,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5783877782347729,0.01546293521836597
27,rew,subpopulation_1.0_label_1.0_mia_privacy_risk,0.6535406209259293,0.02364940482540521
28,eg,entire_dataset_mia_privacy_risk,0.5558732987686325,0.0060402249711170725
29,eg,entire_dataset_label_0.0_mia_privacy_risk,0.5533472414649855,0.008411852619394995
30,eg,entire_dataset_label_1.0_mia_privacy_risk,0.5666273793390769,0.01105227570132284
31,eg,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5561951507091316,0.00883791858030044
32,eg,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5627169411965804,0.011056265158729896
33,eg,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5577137230066294,0.01428127534305245
34,eg,subpopulation_1.0_label_1.0_mia_privacy_risk,0.6019991032531737,0.020787926536033632
