,Method,Metric,Mean,Error
0,orig,bal_acc,0.6206494691006562,0.024823683759445804
1,orig,avg_odds_diff,-0.06802262281753015,0.07821265302630592
2,orig,disp_imp,0.15472540917163616,0.10398154817454582
3,orig,stat_par_diff,-0.10550397100521017,0.08246310030659078
4,orig,eq_opp_diff,-0.09708086737761142,0.10240058567641411
5,orig,theil_ind,0.2162788348875308,0.041430942834653914
6,orig,unpriv_fpr,0.5090073954816667,0.09868418636328366
7,orig,unpriv_fnr,0.3022773819077558,0.1239420118532509
8,orig,priv_fpr,0.5479717737391157,0.08174132245207169
9,orig,priv_fnr,0.20519651453014437,0.04153508879464941
10,transf,bal_acc,0.6251212574422972,0.024319818570393826
11,transf,avg_odds_diff,-0.05507077005431774,0.08967629721416233
12,transf,disp_imp,0.13330664281678375,0.10689139285068651
13,transf,stat_par_diff,-0.09270211022796085,0.08253180999780886
14,transf,eq_opp_diff,-0.07628599794598377,0.09644487858217635
15,transf,theil_ind,0.21423438317926888,0.034230808531537225
16,transf,unpriv_fpr,0.5060429906096309,0.11038657742594875
17,transf,unpriv_fnr,0.283137323304304,0.10655047888487355
18,transf,priv_fpr,0.5398985327722826,0.08080873896732309
19,transf,priv_fnr,0.20685132535832018,0.03718498403592054
20,dir,bal_acc,0.6217218538450948,0.023194690708399003
21,dir,avg_odds_diff,-0.05366041009447344,0.09492674409087916
22,dir,disp_imp,0.13476946949180335,0.10661300003864703
23,dir,stat_par_diff,-0.09016531677868753,0.0878914637446055
24,dir,eq_opp_diff,-0.07299032778171285,0.08630799147860255
25,dir,theil_ind,0.22532082605889783,0.034051253424171986
26,dir,unpriv_fpr,0.49947566858746495,0.11593867547268463
27,dir,unpriv_fnr,0.293565786481582,0.08863818252091642
28,dir,priv_fpr,0.533806160994699,0.06264751960319882
29,dir,priv_fnr,0.22057545869986922,0.03796445751762945
30,rew,bal_acc,0.6259256567823801,0.024211979527047064
31,rew,avg_odds_diff,-0.04613367347764482,0.07447642336619278
32,rew,disp_imp,0.12798074047177055,0.07983084581575707
33,rew,stat_par_diff,-0.08432754019027056,0.07181583475371509
34,rew,eq_opp_diff,-0.06782504963132774,0.0817061252494657
35,rew,theil_ind,0.20360807526572877,0.0274751178350048
36,rew,unpriv_fpr,0.5238430046665237,0.0985585526089262
37,rew,unpriv_fnr,0.262905615842539,0.09372003553599366
38,rew,priv_fpr,0.5482853019904855,0.07746611096155827
39,rew,priv_fnr,0.19508056621121125,0.028513147401084748
40,eg,bal_acc,0.6236947917489166,0.030013441791183083
41,eg,avg_odds_diff,-0.04637685887904005,0.06140193971682468
42,eg,disp_imp,0.11564777415209573,0.06888246182499033
43,eg,stat_par_diff,-0.0859435322826249,0.0602176548137228
44,eg,eq_opp_diff,-0.0741599376581201,0.06811138516728404
45,eg,theil_ind,0.1777580763113497,0.02853687977394943
46,eg,unpriv_fpr,0.5652919692742666,0.08766169196371752
47,eg,unpriv_fnr,0.23546037578229143,0.0682066354087802
48,eg,priv_fpr,0.5838857493742268,0.08538709215338319
49,eg,priv_fnr,0.16130043812417133,0.039618354306796714
