,Method,Metric,Mean Privacy Risk,Error
0,orig,entire_dataset_mia_privacy_risk,0.6413,0.016306601827416237
1,orig,entire_dataset_label_0.0_mia_privacy_risk,0.7330637595359443,0.029941108507831212
2,orig,entire_dataset_label_1.0_mia_privacy_risk,0.6031265020043776,0.017919565129992106
3,orig,subpopulation_0.0_label_0.0_mia_privacy_risk,0.7204356455443885,0.049674930633669206
4,orig,subpopulation_0.0_label_1.0_mia_privacy_risk,0.652776360214615,0.048943733647722046
5,orig,subpopulation_1.0_label_0.0_mia_privacy_risk,0.7406048180887976,0.03270667095091183
6,orig,subpopulation_1.0_label_1.0_mia_privacy_risk,0.59596147990515,0.016456712929936813
7,transf,entire_dataset_mia_privacy_risk,0.6414000000000001,0.014177075639362685
8,transf,entire_dataset_label_0.0_mia_privacy_risk,0.7292646920684307,0.03234308523203266
9,transf,entire_dataset_label_1.0_mia_privacy_risk,0.6044697671112018,0.01626892541216389
10,transf,subpopulation_0.0_label_0.0_mia_privacy_risk,0.7204508064504196,0.05811397966884478
11,transf,subpopulation_0.0_label_1.0_mia_privacy_risk,0.6409995977160119,0.0522609246242483
12,transf,subpopulation_1.0_label_0.0_mia_privacy_risk,0.7383140659967821,0.039126283622663655
13,transf,subpopulation_1.0_label_1.0_mia_privacy_risk,0.6002213907226068,0.0151367232729651
14,dir,entire_dataset_mia_privacy_risk,0.64625,0.015579591914120422
15,dir,entire_dataset_label_0.0_mia_privacy_risk,0.7333970348453474,0.03176888684759859
16,dir,entire_dataset_label_1.0_mia_privacy_risk,0.6115420655932062,0.017291966079486836
17,dir,subpopulation_0.0_label_0.0_mia_privacy_risk,0.7233649921729663,0.058796907643402785
18,dir,subpopulation_0.0_label_1.0_mia_privacy_risk,0.650369873797812,0.04720170549788962
19,dir,subpopulation_1.0_label_0.0_mia_privacy_risk,0.7414446309936883,0.035640550053313624
20,dir,subpopulation_1.0_label_1.0_mia_privacy_risk,0.6069184474046267,0.01602883834026973
21,rew,entire_dataset_mia_privacy_risk,0.6366500000000002,0.010599280015270154
22,rew,entire_dataset_label_0.0_mia_privacy_risk,0.7284608710987647,0.031122072498970754
23,rew,entire_dataset_label_1.0_mia_privacy_risk,0.5995427772248307,0.012884419081828224
24,rew,subpopulation_0.0_label_0.0_mia_privacy_risk,0.7143538035704383,0.04583310181655266
25,rew,subpopulation_0.0_label_1.0_mia_privacy_risk,0.6438191336523142,0.04059972036283731
26,rew,subpopulation_1.0_label_0.0_mia_privacy_risk,0.7437512093439599,0.03133575831037396
27,rew,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5937193368277206,0.012082326951246551
28,eg,entire_dataset_mia_privacy_risk,0.5767,0.011050601317289667
29,eg,entire_dataset_label_0.0_mia_privacy_risk,0.6542022851098092,0.02540313013704929
30,eg,entire_dataset_label_1.0_mia_privacy_risk,0.5666125116817796,0.0134227079650946
31,eg,subpopulation_0.0_label_0.0_mia_privacy_risk,0.6553803568876243,0.029465941547386056
32,eg,subpopulation_0.0_label_1.0_mia_privacy_risk,0.6269118052175744,0.04653984414251273
33,eg,subpopulation_1.0_label_0.0_mia_privacy_risk,0.6636550438913185,0.031247761387328758
34,eg,subpopulation_1.0_label_1.0_mia_privacy_risk,0.56125487114679,0.014076743235203429
