,Method,Metric,Mean,Error
0,orig,bal_acc,0.6311572617399259,0.021742858682962826
1,orig,avg_odds_diff,-0.020952552343191877,0.06621407603470918
2,orig,disp_imp,0.08438979120635248,0.05895087796674217
3,orig,stat_par_diff,-0.05011702434778935,0.05750315959469569
4,orig,eq_opp_diff,-0.04346773697230579,0.06501789050978388
5,orig,theil_ind,0.2159950062816332,0.027802429987255815
6,orig,unpriv_fpr,0.5152692729511454,0.08321327696926728
7,orig,unpriv_fnr,0.25329594643801817,0.058702708626745835
8,orig,priv_fpr,0.5137066406652233,0.07232774259515588
9,orig,priv_fnr,0.2098282094657124,0.03855673481987901
10,transf,bal_acc,0.6277147928831617,0.02926135472955809
11,transf,avg_odds_diff,-0.01233283999913778,0.06973316466984368
12,transf,disp_imp,0.06629822868885518,0.06489379651493926
13,transf,stat_par_diff,-0.044150561851851663,0.053544762145343816
14,transf,eq_opp_diff,-0.04377319427826361,0.052343814704957595
15,transf,theil_ind,0.21872593080944802,0.02358306937111783
16,transf,unpriv_fpr,0.5295279479938199,0.07719999773000771
17,transf,unpriv_fnr,0.256891698712889,0.04585771624493959
18,transf,priv_fpr,0.5104204337138318,0.08665141007439975
19,transf,priv_fnr,0.21311850443462546,0.03120036262902252
20,dir,bal_acc,0.630863626445904,0.022044527316866677
21,dir,avg_odds_diff,-0.019664248045839702,0.0617784403495495
22,dir,disp_imp,0.07603640589715019,0.06533477127276341
23,dir,stat_par_diff,-0.05171474861510843,0.052604053870961134
24,dir,eq_opp_diff,-0.050514127353086094,0.05618455509162944
25,dir,theil_ind,0.2229761808587894,0.03381293653440165
26,dir,unpriv_fpr,0.5132414531380226,0.07262409608580733
27,dir,unpriv_fnr,0.26675894368988856,0.05796581568680311
28,dir,priv_fpr,0.5020558218766158,0.07871167773018496
29,dir,priv_fnr,0.21624481633680248,0.04238063281097316
30,rew,bal_acc,0.6261105982493407,0.029733853586309596
31,rew,avg_odds_diff,0.009874127815753914,0.05686286147958333
32,rew,disp_imp,0.07058111513681657,0.04466190602748057
33,rew,stat_par_diff,-0.021964765292576814,0.05713098875916871
34,rew,eq_opp_diff,-0.022741842924114453,0.07269596144720915
35,rew,theil_ind,0.2222374332699911,0.025500659048560203
36,rew,unpriv_fpr,0.5441608566692957,0.07169406473530282
37,rew,unpriv_fnr,0.24618414711142722,0.0643646781648527
38,rew,priv_fpr,0.5016707581136736,0.07239857869259624
39,rew,priv_fnr,0.22344230418731276,0.03330284796393675
40,eg,bal_acc,0.6229014947964467,0.02306599480954815
41,eg,avg_odds_diff,-0.007863179999689569,0.07573475249765974
42,eg,disp_imp,0.0764230820604112,0.06257898129083694
43,eg,stat_par_diff,-0.0350101388839498,0.07298784508511123
44,eg,eq_opp_diff,-0.026829280448753906,0.06634600301267568
45,eg,theil_ind,0.17948281042071282,0.0458490478170396
46,eg,unpriv_fpr,0.5873067227128483,0.07671191233801818
47,eg,unpriv_fnr,0.1934315884730506,0.07169854151072151
48,eg,priv_fpr,0.5762038022634732,0.08860757760179382
49,eg,priv_fnr,0.1666023080242967,0.06184905507418938
