,Method,Metric,Mean Privacy Risk,Error
0,orig,entire_dataset_mia_privacy_risk,0.6375500000000001,0.014532993316479661
1,orig,entire_dataset_label_0.0_mia_privacy_risk,0.7181488125047866,0.020397184623842313
2,orig,entire_dataset_label_1.0_mia_privacy_risk,0.6054760561769703,0.01711718491809922
3,orig,subpopulation_0.0_label_0.0_mia_privacy_risk,0.7287912145369118,0.03280350414117094
4,orig,subpopulation_0.0_label_1.0_mia_privacy_risk,0.6307902258759803,0.02945294504666966
5,orig,subpopulation_1.0_label_0.0_mia_privacy_risk,0.7180497513999445,0.023444659145017345
6,orig,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5986370710324347,0.017358675355480892
7,transf,entire_dataset_mia_privacy_risk,0.6415,0.014114195914602768
8,transf,entire_dataset_label_0.0_mia_privacy_risk,0.7274604765634599,0.021681469506511918
9,transf,entire_dataset_label_1.0_mia_privacy_risk,0.6068820720360516,0.013972108054360744
10,transf,subpopulation_0.0_label_0.0_mia_privacy_risk,0.746346768647234,0.037499534532195684
11,transf,subpopulation_0.0_label_1.0_mia_privacy_risk,0.6283184312239019,0.02594155405563214
12,transf,subpopulation_1.0_label_0.0_mia_privacy_risk,0.7231876827015752,0.027253972381857495
13,transf,subpopulation_1.0_label_1.0_mia_privacy_risk,0.6023654096170442,0.01703922934377417
14,dir,entire_dataset_mia_privacy_risk,0.6408999999999999,0.008142804379198527
15,dir,entire_dataset_label_0.0_mia_privacy_risk,0.7154370157028006,0.025043568969385407
16,dir,entire_dataset_label_1.0_mia_privacy_risk,0.6100122594536649,0.016954260437705485
17,dir,subpopulation_0.0_label_0.0_mia_privacy_risk,0.7287928100534766,0.03098579761318052
18,dir,subpopulation_0.0_label_1.0_mia_privacy_risk,0.6314173502923792,0.027440392820824916
19,dir,subpopulation_1.0_label_0.0_mia_privacy_risk,0.7175622462784882,0.0316834767128477
20,dir,subpopulation_1.0_label_1.0_mia_privacy_risk,0.604699570081903,0.019751939921281575
21,rew,entire_dataset_mia_privacy_risk,0.6407,0.015166097926486887
22,rew,entire_dataset_label_0.0_mia_privacy_risk,0.725661475946789,0.03133109793823479
23,rew,entire_dataset_label_1.0_mia_privacy_risk,0.6064462654381477,0.015820556702147413
24,rew,subpopulation_0.0_label_0.0_mia_privacy_risk,0.7409041451555142,0.035113448940086146
25,rew,subpopulation_0.0_label_1.0_mia_privacy_risk,0.6307677876715033,0.0315556456137956
26,rew,subpopulation_1.0_label_0.0_mia_privacy_risk,0.7256988334092178,0.036784686280913366
27,rew,subpopulation_1.0_label_1.0_mia_privacy_risk,0.6015735759644553,0.016199734570993347
28,eg,entire_dataset_mia_privacy_risk,0.5799000000000001,0.011933588157624247
29,eg,entire_dataset_label_0.0_mia_privacy_risk,0.6481339913330257,0.027159481552253024
30,eg,entire_dataset_label_1.0_mia_privacy_risk,0.5700818815654178,0.015968005161464738
31,eg,subpopulation_0.0_label_0.0_mia_privacy_risk,0.673215788204613,0.03341787961450098
32,eg,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5992437866465964,0.03135099463071716
33,eg,subpopulation_1.0_label_0.0_mia_privacy_risk,0.6534910090103244,0.02874782862474541
34,eg,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5699683774631845,0.016090851719279917
