,Method,Metric,Mean,Error
0,orig,bal_acc,0.5868054203726577,0.003548593343500647
1,orig,avg_odds_diff,-0.03688437527640563,0.043851649137281956
2,orig,disp_imp,0.08898821014798974,0.061195090465682285
3,orig,stat_par_diff,-0.04898921770965805,0.04296373832307342
4,orig,eq_opp_diff,-0.01683556244397766,0.04579887136502462
5,orig,theil_ind,0.16802102995518828,0.018999314240037722
6,orig,unpriv_fpr,0.4513239941874655,0.05532494453665437
7,orig,unpriv_fnr,0.3530114319366654,0.0568624638241692
8,orig,priv_fpr,0.5082571822962991,0.07127601835404347
9,orig,priv_fnr,0.33617586949268763,0.06508025278238848
10,transf,bal_acc,0.5889622558354111,0.003930151194501475
11,transf,avg_odds_diff,-0.012356726654805158,0.049411319584833344
12,transf,disp_imp,0.06033300321455772,0.06965899425048257
13,transf,stat_par_diff,-0.02525338975585214,0.050236831147284326
14,transf,eq_opp_diff,0.009356777114648312,0.04796625353092098
15,transf,theil_ind,0.17337214966974895,0.025321157662014215
16,transf,unpriv_fpr,0.44290137555518666,0.07325136835564267
17,transf,unpriv_fnr,0.3546999181213873,0.07567801111437365
18,transf,priv_fpr,0.47697160597944543,0.09040572124963375
19,transf,priv_fnr,0.3640566952360356,0.0847522818962288
20,dir,bal_acc,0.5842655812843259,0.004962074473916034
21,dir,avg_odds_diff,-0.029029534584452933,0.0670448246035351
22,dir,disp_imp,0.10463180148647733,0.0700649610791227
23,dir,stat_par_diff,-0.041614048386297384,0.06746181684465073
24,dir,eq_opp_diff,-0.007530375620275684,0.06758132943478988
25,dir,theil_ind,0.1694477481353764,0.03126423055920398
26,dir,unpriv_fpr,0.45544675406307594,0.07563924332209854
27,dir,unpriv_fnr,0.3523263649653795,0.07868266176729287
28,dir,priv_fpr,0.505975447611706,0.11105498684329221
29,dir,priv_fnr,0.3447959893451039,0.11154036284536822
30,rew,bal_acc,0.5866276764018177,0.0036448727985715036
31,rew,avg_odds_diff,0.008163812830438955,0.059789676927277886
32,rew,disp_imp,0.08019969951404446,0.06137436493878926
33,rew,stat_par_diff,-0.004080366535283259,0.05994238002281372
34,rew,eq_opp_diff,0.028525217663885605,0.059278906884323135
35,rew,theil_ind,0.1658757142471023,0.022902995329531276
36,rew,unpriv_fpr,0.4832035704582423,0.05093999953615894
37,rew,unpriv_fnr,0.31995803418978525,0.05440424371979554
38,rew,priv_fpr,0.4954011624612499,0.08536279065877402
39,rew,priv_fnr,0.34848325185367085,0.08600762874378304
40,eg,bal_acc,0.5351832868866777,0.006507332904228246
41,eg,avg_odds_diff,0.026628963690844103,0.05097361855576228
42,eg,disp_imp,0.22843846579905686,0.1586420455067753
43,eg,stat_par_diff,0.019631360835118544,0.04665864088039431
44,eg,eq_opp_diff,0.039844117757580025,0.06177723617022219
45,eg,theil_ind,0.31583669898387706,0.009484297668214096
46,eg,unpriv_fpr,0.1014409993362579,0.04348856729072125
47,eg,unpriv_fnr,0.812400809793002,0.06552880045357148
48,eg,priv_fpr,0.0880271897121497,0.01828722315699667
49,eg,priv_fnr,0.8522449275505819,0.027444004761896137
