,Method,Metric,Mean,Error
0,orig,bal_acc,0.5859406968478245,0.003788636085918821
1,orig,avg_odds_diff,-0.5204681431934853,0.06823122490191048
2,orig,disp_imp,0.8850572157188404,0.028027607520827627
3,orig,stat_par_diff,-0.5175219422501921,0.06793649912524358
4,orig,eq_opp_diff,-0.56276787521433,0.07572289098876023
5,orig,theil_ind,0.1651872175816314,0.022047384541246023
6,orig,unpriv_fpr,0.06412677897047621,0.01806197278085554
7,orig,unpriv_fnr,0.8878525112017444,0.059362656093046154
8,orig,priv_fpr,0.542295190143117,0.07699695524833161
9,orig,priv_fnr,0.3250846359874146,0.06822642167818288
10,transf,bal_acc,0.5837411758951154,0.0038171222162672845
11,transf,avg_odds_diff,-0.36360554722045596,0.09137673202710365
12,transf,disp_imp,0.7002021392578442,0.10254858208695587
13,transf,stat_par_diff,-0.36426641391329184,0.08414804233498537
14,transf,eq_opp_diff,-0.40414134983272054,0.10349661698285545
15,transf,theil_ind,0.18358581952769146,0.03025876899089158
16,transf,unpriv_fpr,0.15159785681469234,0.05673452406039479
17,transf,unpriv_fnr,0.7881732360279112,0.07878051358070043
18,transf,priv_fpr,0.47466760142288394,0.09909124028027004
19,transf,priv_fnr,0.3840318861951907,0.09330471359076663
20,dir,bal_acc,0.5828832596002786,0.006821935949150773
21,dir,avg_odds_diff,-0.4661964025767575,0.09277443622874582
22,dir,disp_imp,0.8753278195970393,0.030149364231453982
23,dir,stat_par_diff,-0.4737362099828942,0.09141358111647768
24,dir,eq_opp_diff,-0.49546420439498035,0.09886091656056847
25,dir,theil_ind,0.18030425730113275,0.028015796076556194
26,dir,unpriv_fpr,0.06115020449958715,0.013568788389559328
27,dir,unpriv_fnr,0.8678391630237756,0.05791391575015843
28,dir,priv_fpr,0.4980788052581218,0.096309620259042
29,dir,priv_fnr,0.3723749586287955,0.08697900674804308
30,rew,bal_acc,0.5811062626354306,0.005475158008747135
31,rew,avg_odds_diff,-0.3445341604495848,0.09975592134323066
32,rew,disp_imp,0.6201111959656709,0.10651529967035366
33,rew,stat_par_diff,-0.34096167268428473,0.09266148913955646
34,rew,eq_opp_diff,-0.38913375592945504,0.11447511332274987
35,rew,theil_ind,0.17564458492630997,0.029643318564015485
36,rew,unpriv_fpr,0.20173926316484625,0.06408037968095283
37,rew,unpriv_fnr,0.7492745192929887,0.07828316847737495
38,rew,priv_fpr,0.5016738281345606,0.09843663207996461
39,rew,priv_fnr,0.3601407633635337,0.09230062888083643
40,eg,bal_acc,0.525263581402068,0.0040080522883247155
41,eg,avg_odds_diff,-0.03536153766124704,0.05338736911559897
42,eg,disp_imp,0.6062681312903158,0.31434420281004355
43,eg,stat_par_diff,-0.04177738612917925,0.03630826598685129
44,eg,eq_opp_diff,-0.042182389974101106,0.07524282680162772
45,eg,theil_ind,0.329774378030398,0.005091707179840474
46,eg,unpriv_fpr,0.03715112275898914,0.0398718312239874
47,eg,unpriv_fnr,0.9281420960070212,0.08238376202666614
48,eg,priv_fpr,0.06569180810738211,0.010541282930849251
49,eg,priv_fnr,0.8859597060329204,0.014690813084873699
