,Method,Metric,Mean Privacy Risk,Error
0,orig,entire_dataset_mia_privacy_risk,0.5184674603885059,0.0022695355618770337
1,orig,entire_dataset_label_0.0_mia_privacy_risk,0.518548371614721,0.003528949985369419
2,orig,entire_dataset_label_1.0_mia_privacy_risk,0.5430331041209727,0.005212143205790224
3,orig,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5260130044356145,0.0077075849516317204
4,orig,subpopulation_0.0_label_1.0_mia_privacy_risk,0.8219802970509396,0.045282290504127416
5,orig,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5187624652984275,0.0035678266236994906
6,orig,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5401346335144808,0.005516224006168718
7,transf,entire_dataset_mia_privacy_risk,0.5161019604332646,0.001834555659907087
8,transf,entire_dataset_label_0.0_mia_privacy_risk,0.5168497649069544,0.003021896051226138
9,transf,entire_dataset_label_1.0_mia_privacy_risk,0.5348811608389037,0.005641030811548364
10,transf,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5304673741170085,0.009008140058702685
11,transf,subpopulation_0.0_label_1.0_mia_privacy_risk,0.743606473266465,0.04160315804994333
12,transf,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5164907897925518,0.0034293735781338952
13,transf,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5321732802045809,0.005485681557692471
14,dir,entire_dataset_mia_privacy_risk,0.5341419747560647,0.008710907177220487
15,dir,entire_dataset_label_0.0_mia_privacy_risk,0.5389244505925334,0.015804128725122657
16,dir,entire_dataset_label_1.0_mia_privacy_risk,0.5581429050250466,0.02086141723216513
17,dir,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5248461610002011,0.008899665044583442
18,dir,subpopulation_0.0_label_1.0_mia_privacy_risk,0.8382635544771722,0.03537712570441153
19,dir,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5413580854345506,0.01713579848589161
20,dir,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5549818374221835,0.021257317941067482
21,rew,entire_dataset_mia_privacy_risk,0.5177625100707188,0.0023470462539173912
22,rew,entire_dataset_label_0.0_mia_privacy_risk,0.5179104346737616,0.003914166319693654
23,rew,entire_dataset_label_1.0_mia_privacy_risk,0.5413346313838282,0.005272629685448464
24,rew,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5272545503078391,0.007453051299492631
25,rew,subpopulation_0.0_label_1.0_mia_privacy_risk,0.8295722486015211,0.039068212397512576
26,rew,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5176142118494544,0.0041923750234914665
27,rew,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5366951436487759,0.005178653967859209
28,eg,entire_dataset_mia_privacy_risk,0.5149718019872884,0.0020997481273436988
29,eg,entire_dataset_label_0.0_mia_privacy_risk,0.5180134964065546,0.003546067704645861
30,eg,entire_dataset_label_1.0_mia_privacy_risk,0.5421982078605955,0.0057215991691201675
31,eg,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5168995055267428,0.008573737972984408
32,eg,subpopulation_0.0_label_1.0_mia_privacy_risk,0.7048583574592417,0.07019087290204748
33,eg,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5199850692758481,0.003121403459903648
34,eg,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5416889626723145,0.0056818056667630465
