,Method,Metric,Mean,Error
0,orig,bal_acc,0.5740735781854246,0.010737276736143922
1,orig,avg_odds_diff,0.04570489088018832,0.032152822082267156
2,orig,disp_imp,0.05362957441502929,0.016824791092987634
3,orig,stat_par_diff,0.052269388601936306,0.016441978365950415
4,orig,eq_opp_diff,0.04011301503038815,0.015319964843702575
5,orig,theil_ind,0.034497118592196264,0.0034147066803942284
6,orig,unpriv_fpr,0.8366051779228696,0.02533226538764583
7,orig,unpriv_fnr,0.01889393904668032,0.0035711672823827236
8,orig,priv_fpr,0.7853084111928812,0.044782483692588776
9,orig,priv_fnr,0.059006954077068484,0.015476158236599966
10,transf,bal_acc,0.5728214609502807,0.01135562737813772
11,transf,avg_odds_diff,0.042772157973352785,0.035929838472478354
12,transf,disp_imp,0.052784359646879234,0.016524728921272384
13,transf,stat_par_diff,0.05145473261348983,0.016120568968834393
14,transf,eq_opp_diff,0.04009838900663156,0.014909703987347105
15,transf,theil_ind,0.03430723699098082,0.0034669770516992052
16,transf,unpriv_fpr,0.8387078749606651,0.026046394113477693
17,transf,unpriv_fnr,0.018656626510661946,0.0036491174426479538
18,transf,priv_fpr,0.7932619480205911,0.05970934901802932
19,transf,priv_fnr,0.05875501551729349,0.014953049528380788
20,dir,bal_acc,0.5760581208180192,0.01186513080886567
21,dir,avg_odds_diff,0.06621657038859571,0.040460383377203785
22,dir,disp_imp,0.06641367874972508,0.022195565289063943
23,dir,stat_par_diff,0.0646841864570686,0.021560357398549106
24,dir,eq_opp_diff,0.04998408901225106,0.019003752435508097
25,dir,theil_ind,0.035077325325693215,0.0030696891341671223
26,dir,unpriv_fpr,0.8354166558105665,0.025847493746815785
27,dir,unpriv_fnr,0.01915731636160705,0.0033304822730066087
28,dir,priv_fpr,0.7529676040456259,0.0734322392624242
29,dir,priv_fnr,0.06914140537385811,0.019563500889273056
30,rew,bal_acc,0.5751238139193695,0.009149153067881392
31,rew,avg_odds_diff,0.021287351676923243,0.038856057137081346
32,rew,disp_imp,0.040125545151791946,0.01518086247581157
33,rew,stat_par_diff,0.039096804984643116,0.01479345195058321
34,rew,eq_opp_diff,0.02977245754707421,0.011137478187694188
35,rew,theil_ind,0.03389543692867303,0.003126058146681992
36,rew,unpriv_fpr,0.8311209747280704,0.02198195389782881
37,rew,unpriv_fnr,0.018733886331696457,0.0034723157801852234
38,rew,priv_fpr,0.8183187289212981,0.0706916103499817
39,rew,priv_fnr,0.04850634387877066,0.011763603337792526
40,eg,bal_acc,0.5653979665816369,0.010363688725674806
41,eg,avg_odds_diff,-0.0008085916301125623,0.027057066662842987
42,eg,disp_imp,0.02150066499275082,0.012427472744540822
43,eg,stat_par_diff,0.0206301172483982,0.013031320513142361
44,eg,eq_opp_diff,0.014129295031614086,0.010507946764144478
45,eg,theil_ind,0.02632573709848155,0.0022542086305404885
46,eg,unpriv_fpr,0.8556646835510764,0.022950673617100913
47,eg,unpriv_fnr,0.011194993888512953,0.0024108629131486823
48,eg,priv_fpr,0.8714111618429156,0.05049394104855847
49,eg,priv_fnr,0.02532428892012703,0.011247199949824118
