,Method,Metric,Mean Privacy Risk,Error
0,orig,entire_dataset_mia_privacy_risk,0.5171723242619484,0.0016388072640066782
1,orig,entire_dataset_label_0.0_mia_privacy_risk,0.6816207238544356,0.019240893996548922
2,orig,entire_dataset_label_1.0_mia_privacy_risk,0.5117287932534078,0.001641234683340919
3,orig,subpopulation_0.0_label_0.0_mia_privacy_risk,0.6799431555036516,0.019155382628884988
4,orig,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5111197263990479,0.001924231787246241
5,orig,subpopulation_1.0_label_0.0_mia_privacy_risk,0.7170425992378856,0.02792106892301251
6,orig,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5425822117044643,0.01479909933642035
7,transf,entire_dataset_mia_privacy_risk,0.5169439369170112,0.0016782130937601746
8,transf,entire_dataset_label_0.0_mia_privacy_risk,0.6822442492719337,0.01934485711560522
9,transf,entire_dataset_label_1.0_mia_privacy_risk,0.5114489288861103,0.0018560859986634843
10,transf,subpopulation_0.0_label_0.0_mia_privacy_risk,0.6803718670517082,0.019539287714063318
11,transf,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5108760824161271,0.002111492659585059
12,transf,subpopulation_1.0_label_0.0_mia_privacy_risk,0.7183984460191025,0.034258222068192914
13,transf,subpopulation_1.0_label_1.0_mia_privacy_risk,0.542242369356718,0.015190655243021978
14,dir,entire_dataset_mia_privacy_risk,0.5184320607750745,0.003323591183608629
15,dir,entire_dataset_label_0.0_mia_privacy_risk,0.6807969338309758,0.019674652546975063
16,dir,entire_dataset_label_1.0_mia_privacy_risk,0.5135992272420771,0.003565273791813262
17,dir,subpopulation_0.0_label_0.0_mia_privacy_risk,0.6781418282602673,0.01938832303438732
18,dir,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5130816076234109,0.003546466778655934
19,dir,subpopulation_1.0_label_0.0_mia_privacy_risk,0.7238491913747336,0.05217563460741962
20,dir,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5443504414536028,0.016181061962768722
21,rew,entire_dataset_mia_privacy_risk,0.5169559573035871,0.002145075479666428
22,rew,entire_dataset_label_0.0_mia_privacy_risk,0.6754986660915923,0.021402041487511722
23,rew,entire_dataset_label_1.0_mia_privacy_risk,0.5118522478980051,0.001996934195845433
24,rew,subpopulation_0.0_label_0.0_mia_privacy_risk,0.6785718363360471,0.019850166529633062
25,rew,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5111973963208525,0.0022271756253055028
26,rew,subpopulation_1.0_label_0.0_mia_privacy_risk,0.6881902845424263,0.04094480825053138
27,rew,subpopulation_1.0_label_1.0_mia_privacy_risk,0.53721596501709,0.012159579857068796
28,eg,entire_dataset_mia_privacy_risk,0.5096932397345899,0.001709888009982338
29,eg,entire_dataset_label_0.0_mia_privacy_risk,0.6635121365859771,0.021238643327587226
30,eg,entire_dataset_label_1.0_mia_privacy_risk,0.5097016149426382,0.002073742684860745
31,eg,subpopulation_0.0_label_0.0_mia_privacy_risk,0.6734069113467972,0.016204064396032034
32,eg,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5090648211962893,0.0021243773835366835
33,eg,subpopulation_1.0_label_0.0_mia_privacy_risk,0.6945394940950773,0.032481901405159753
34,eg,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5420526203275372,0.013039880658702105
