,Method,Metric,Mean,Error
0,orig,bal_acc,0.571294622748977,0.00791124993750411
1,orig,avg_odds_diff,-0.019377990107036704,0.01865187999072682
2,orig,disp_imp,0.008086947109275816,0.004354686637696802
3,orig,stat_par_diff,-0.007477758760967917,0.00501237889600085
4,orig,eq_opp_diff,-0.0044596720384243674,0.004283529244146301
5,orig,theil_ind,0.03383764762127412,0.0023206008034754575
6,orig,unpriv_fpr,0.8198827885555844,0.02881778108725137
7,orig,unpriv_fnr,0.022282739732601253,0.0038125734408478917
8,orig,priv_fpr,0.8541790967312334,0.01849303102456953
9,orig,priv_fnr,0.017823067694176884,0.0029861217053494585
10,transf,bal_acc,0.5693499054209207,0.011602364154873505
11,transf,avg_odds_diff,-0.012598778175603353,0.016967128325120227
12,transf,disp_imp,0.0048537437536901205,0.003543723549953514
13,transf,stat_par_diff,-0.004012294504912794,0.004326659549132549
14,transf,eq_opp_diff,-0.0013996431166297119,0.003732792662550205
15,transf,theil_ind,0.03230754395560922,0.0022251897122560673
16,transf,unpriv_fpr,0.8308419086023873,0.03466134898947113
17,transf,unpriv_fnr,0.018903240687101766,0.003750848713813012
18,transf,priv_fpr,0.8546398218369642,0.023516123109239895
19,transf,priv_fnr,0.017503597570472044,0.0028211224964323632
20,dir,bal_acc,0.5711444395354349,0.012150433343160329
21,dir,avg_odds_diff,-0.019172841466463846,0.020790852437859882
22,dir,disp_imp,0.007413533893946217,0.003999069054137683
23,dir,stat_par_diff,-0.006429504391547647,0.0051736224226710025
24,dir,eq_opp_diff,-0.003287411193031714,0.005080456356316204
25,dir,theil_ind,0.035735497099679686,0.003652919532027978
26,dir,unpriv_fpr,0.8179678903151922,0.03493285079521608
27,dir,unpriv_fnr,0.023572662527808902,0.004496002244977306
28,dir,priv_fpr,0.853026162055088,0.03125311610329581
29,dir,priv_fnr,0.02028525133477719,0.004920908309887575
30,rew,bal_acc,0.5703997480176775,0.008539071047376704
31,rew,avg_odds_diff,-0.007655341049991435,0.013870568470479743
32,rew,disp_imp,0.00476623961327235,0.002599095557799062
33,rew,stat_par_diff,-0.004074431942515655,0.003437048378488855
34,rew,eq_opp_diff,-0.0019804521821980615,0.0029138026471579852
35,rew,theil_ind,0.03286144322813904,0.002385558670417487
36,rew,unpriv_fpr,0.8336030685950077,0.023623831285252514
37,rew,unpriv_fnr,0.019839685224414573,0.0026595485495079516
38,rew,priv_fpr,0.8469332985127924,0.02067029458028524
39,rew,priv_fnr,0.01785923304221649,0.0032883084974196265
40,eg,bal_acc,0.5669770221985593,0.010411617194881453
41,eg,avg_odds_diff,-0.013654078542601217,0.02141649816267744
42,eg,disp_imp,0.0063547760727256705,0.00442829919598762
43,eg,stat_par_diff,-0.005945190935110506,0.004800743741417718
44,eg,eq_opp_diff,-0.0035067415063644468,0.003535361748359628
45,eg,theil_ind,0.027142718497576667,0.0019114655046986527
46,eg,unpriv_fpr,0.8410225667010094,0.032913046489307166
47,eg,unpriv_fnr,0.014649907977249443,0.0032774448273026656
48,eg,priv_fpr,0.8648239822798474,0.026893513091596887
49,eg,priv_fnr,0.011143166470885004,0.002458206696184867
