,Method,Metric,Mean,Error
0,orig,bal_acc,0.6807804044388344,0.010210559071803647
1,orig,avg_odds_diff,-0.0777900060656962,0.022232361727658377
2,orig,disp_imp,0.4362169780987859,0.06735675720704094
3,orig,stat_par_diff,-0.12961163097001063,0.0180939509192242
4,orig,eq_opp_diff,-0.07093836670005316,0.038261214156185996
5,orig,theil_ind,0.12374068955092628,0.0042664951971995435
6,orig,unpriv_fpr,0.12364678069705584,0.0384775975244641
7,orig,unpriv_fnr,0.5209208464124381,0.0570775417366836
8,orig,priv_fpr,0.20828842612839504,0.044323858463469604
9,orig,priv_fnr,0.4499824797123848,0.04089309631502753
10,transf,bal_acc,0.6872334063928182,0.009688112254339219
11,transf,avg_odds_diff,-0.05800900813818921,0.02036663942743168
12,transf,disp_imp,0.38388524619304,0.06201851275864507
13,transf,stat_par_diff,-0.11098503153086296,0.017784751052421312
14,transf,eq_opp_diff,-0.05285982119267583,0.03163312122523362
15,transf,theil_ind,0.12197801917451853,0.0042066767279055
16,transf,unpriv_fpr,0.13103151324492052,0.032380103730908494
17,transf,unpriv_fnr,0.49907461265836917,0.05789948649295166
18,transf,priv_fpr,0.1941897083286231,0.03862754750155194
19,transf,priv_fnr,0.44621479146569343,0.041282762044766844
20,dir,bal_acc,0.6827489345092858,0.011222341993275445
21,dir,avg_odds_diff,-0.07939095106921175,0.02082589140577713
22,dir,disp_imp,0.43547794046640487,0.06042793363898445
23,dir,stat_par_diff,-0.12928272256715553,0.017631049987440982
24,dir,eq_opp_diff,-0.07635943111880915,0.03433562716100225
25,dir,theil_ind,0.12304491551838234,0.0043225522116338375
26,dir,unpriv_fpr,0.12295149395990952,0.03528766405290764
27,dir,unpriv_fnr,0.5229138914253683,0.05317021196824136
28,dir,priv_fpr,0.20537396497952393,0.042107497113171445
29,dir,priv_fnr,0.44655446030655915,0.04226205066123244
30,rew,bal_acc,0.68343079064543,0.011644800637899928
31,rew,avg_odds_diff,-0.04380686089989862,0.013019898758661308
32,rew,disp_imp,0.3753983411144154,0.052147592917988234
33,rew,stat_par_diff,-0.10347616062901492,0.014409135730150706
34,rew,eq_opp_diff,-0.027171870338187815,0.01993864434345404
35,rew,theil_ind,0.12286758124073918,0.0053322234044927115
36,rew,unpriv_fpr,0.12450801949362666,0.036515942014331705
37,rew,unpriv_fnr,0.49540790880542007,0.05691476452262897
38,rew,priv_fpr,0.18494987095523605,0.04465538035654865
39,rew,priv_fnr,0.46823603846723244,0.051747572612195404
40,eg,bal_acc,0.7090049602086258,0.01201996492593647
41,eg,avg_odds_diff,-0.02664831715458254,0.024481363341563176
42,eg,disp_imp,0.37397403756429026,0.05624629828261318
43,eg,stat_par_diff,-0.09409117241441144,0.016024147778784897
44,eg,eq_opp_diff,-0.009423853550248398,0.03935401180375593
45,eg,theil_ind,0.1128042960710848,0.004190785811657454
46,eg,unpriv_fpr,0.09887188561557561,0.012864680099446874
47,eg,unpriv_fnr,0.46571209122328616,0.03832208380048979
48,eg,priv_fpr,0.1427446663744923,0.014093114179858384
49,eg,priv_fnr,0.4562882376730378,0.03115442365081497
