,Method,Metric,Mean Privacy Risk,Error
0,orig,entire_dataset_mia_privacy_risk,0.5403506001263425,0.0023541113774943915
1,orig,entire_dataset_label_0.0_mia_privacy_risk,0.5255416920183469,0.0017031745243879803
2,orig,entire_dataset_label_1.0_mia_privacy_risk,0.6184560840415194,0.010235164735693246
3,orig,subpopulation_0.0_label_0.0_mia_privacy_risk,0.518202656223534,0.00233939075416984
4,orig,subpopulation_0.0_label_1.0_mia_privacy_risk,0.6023825218483492,0.008890157906457297
5,orig,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5434307353037228,0.003622293865086219
6,orig,subpopulation_1.0_label_1.0_mia_privacy_risk,0.6383092082098181,0.012154009508196409
7,transf,entire_dataset_mia_privacy_risk,0.5337428932406821,0.003292264339803958
8,transf,entire_dataset_label_0.0_mia_privacy_risk,0.5219404458973438,0.0022685850002380297
9,transf,entire_dataset_label_1.0_mia_privacy_risk,0.6002289712194793,0.00967768514051469
10,transf,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5156903478519083,0.0030411713125592134
11,transf,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5800821082083113,0.012414189162589996
12,transf,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5377318583861472,0.004719576137060989
13,transf,subpopulation_1.0_label_1.0_mia_privacy_risk,0.6220427368097746,0.009852287453953454
14,dir,entire_dataset_mia_privacy_risk,0.5404327226784587,0.002494681305055755
15,dir,entire_dataset_label_0.0_mia_privacy_risk,0.525779809643284,0.002021523844588652
16,dir,entire_dataset_label_1.0_mia_privacy_risk,0.618274181352407,0.010999038756539164
17,dir,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5180464249882395,0.0023878705795721098
18,dir,subpopulation_0.0_label_1.0_mia_privacy_risk,0.6035771265791069,0.011379322407236304
19,dir,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5448194144083348,0.0038436038369295956
20,dir,subpopulation_1.0_label_1.0_mia_privacy_risk,0.6358082057194976,0.012194313981645019
21,rew,entire_dataset_mia_privacy_risk,0.5395325331648768,0.0024508640815349794
22,rew,entire_dataset_label_0.0_mia_privacy_risk,0.5247321716254737,0.0020407866090674173
23,rew,entire_dataset_label_1.0_mia_privacy_risk,0.6192048306470287,0.006963502479686894
24,rew,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5181207457829747,0.0026749295098471484
25,rew,subpopulation_0.0_label_1.0_mia_privacy_risk,0.6058989125622833,0.009257232346730229
26,rew,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5416669539397228,0.004135520873363938
27,rew,subpopulation_1.0_label_1.0_mia_privacy_risk,0.6345643735826758,0.010333948726188988
28,eg,entire_dataset_mia_privacy_risk,0.530369551484523,0.002827693262745925
29,eg,entire_dataset_label_0.0_mia_privacy_risk,0.5198378450470301,0.0021081070565302693
30,eg,entire_dataset_label_1.0_mia_privacy_risk,0.5915349650060433,0.00970363213678311
31,eg,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5146661046446844,0.0021983762802312693
32,eg,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5928559511751634,0.011854619335760208
33,eg,subpopulation_1.0_label_0.0_mia_privacy_risk,0.533381528232964,0.004408661368052113
34,eg,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5964762148559942,0.010155562713238102
