,Method,Metric,Mean,Error
0,orig,bal_acc,0.6077704314402386,0.01806907738538072
1,orig,avg_odds_diff,0.4224452218317018,0.16785360777723463
2,orig,disp_imp,0.8644077714222519,0.24993021468164742
3,orig,stat_par_diff,0.4278104660610634,0.16416626001968676
4,orig,eq_opp_diff,0.48971747899145673,0.19603160136728656
5,orig,theil_ind,0.28267477159811666,0.08049323345085414
6,orig,unpriv_fpr,0.4139521191007166,0.1930682076146098
7,orig,unpriv_fnr,0.3737882699145403,0.15536062436449607
8,orig,priv_fpr,0.05877915442876967,0.12516977805221513
9,orig,priv_fnr,0.8635057489059971,0.23386226210252048
10,transf,bal_acc,0.6077448444112055,0.018056669931522377
11,transf,avg_odds_diff,0.4230275831595418,0.16625005706781068
12,transf,disp_imp,0.865331281563224,0.2466316145295191
13,transf,stat_par_diff,0.42839575034199984,0.16260451381910862
14,transf,eq_opp_diff,0.4902512868206381,0.19441332542175885
15,transf,theil_ind,0.2824548401792828,0.08078034812871089
16,transf,unpriv_fpr,0.414583033927215,0.19343329965543363
17,transf,unpriv_fnr,0.3732544620853588,0.15573933759691308
18,transf,priv_fpr,0.05877915442876967,0.12516977805221513
19,transf,priv_fnr,0.8635057489059971,0.23386226210252048
20,dir,bal_acc,0.5943908081750114,0.016892834709399007
21,dir,avg_odds_diff,0.49572155032151455,0.19997252638170498
22,dir,disp_imp,0.8289291084183091,0.25361591615589785
23,dir,stat_par_diff,0.5069582348002261,0.19426215481240483
24,dir,eq_opp_diff,0.523089722689537,0.23850169586480233
25,dir,theil_ind,0.24078280712757874,0.07562295709153527
26,dir,unpriv_fpr,0.5503636267828184,0.19489414220843385
27,dir,unpriv_fnr,0.2845391858133425,0.15001044753665924
28,dir,priv_fpr,0.08201024882932614,0.13554304012341536
29,dir,priv_fnr,0.8076289085028794,0.2587252767015324
30,rew,bal_acc,0.609944782013865,0.01882336367556796
31,rew,avg_odds_diff,-0.045181557578683085,0.06513466028223613
32,rew,disp_imp,0.1324234535305485,0.11866792962682733
33,rew,stat_par_diff,-0.022934379894968732,0.06358797723244233
34,rew,eq_opp_diff,-0.041319343548890254,0.09708237128083086
35,rew,theil_ind,0.3033675685697079,0.062383575888511636
36,rew,unpriv_fpr,0.2778678046114858,0.11058533027205568
37,rew,unpriv_fnr,0.4981062684796501,0.11963162506744567
38,rew,priv_fpr,0.32691157621996175,0.09771018148174998
39,rew,priv_fnr,0.45678692493075995,0.13559963171062753
40,eg,bal_acc,0.5810859935953776,0.03284954194117881
41,eg,avg_odds_diff,0.14227788548061066,0.3203960928347402
42,eg,disp_imp,0.4378267544880175,0.22904895634329014
43,eg,stat_par_diff,0.16222143992534416,0.3221800446843145
44,eg,eq_opp_diff,0.12299518448167202,0.2990635166195018
45,eg,theil_ind,0.2221821332378854,0.11539439618765363
46,eg,unpriv_fpr,0.5414976305035949,0.3386543754183132
47,eg,unpriv_fnr,0.3144922402611309,0.2540806213050111
48,eg,priv_fpr,0.3799370440240456,0.23103074075455604
49,eg,priv_fnr,0.437487424742803,0.24991697525280118
