,Method,Metric,Mean,Error
0,orig,bal_acc,0.738434806157024,0.0012478062054412584
1,orig,avg_odds_diff,-0.2951057081800039,0.010582541861205077
2,orig,disp_imp,0.7055861550029005,0.000526302675004334
3,orig,stat_par_diff,-0.3914666825291759,0.013486733047711405
4,orig,eq_opp_diff,-0.270589307513483,0.007510523477904545
5,orig,theil_ind,0.1049178753404247,0.0029752686013078066
6,orig,unpriv_fpr,0.11712783855567799,0.005303101614543067
7,orig,unpriv_fnr,0.44064676616915416,0.00956725602313342
8,orig,priv_fpr,0.43674994740220285,0.018957661859048673
9,orig,priv_fnr,0.17005745865567107,0.017077779501037938
10,cpp,bal_acc,0.6959253336552915,0.0033489127956457454
11,cpp,avg_odds_diff,-0.18754430595237243,0.04517645243488451
12,cpp,disp_imp,0.7329319646635793,0.04685755355245595
13,cpp,stat_par_diff,-0.2148651907951491,0.024064492787461547
14,cpp,eq_opp_diff,-0.24672440277011737,0.07645769818178291
15,cpp,theil_ind,0.15322337123657498,0.0006875631588728379
16,cpp,unpriv_fpr,0.050478593938151725,0.007581697526128517
17,cpp,unpriv_fnr,0.689615337944424,0.05813071271684929
18,cpp,priv_fpr,0.17884280307277928,0.006313509161857576
19,cpp,priv_fnr,0.44289093517430667,0.018326985464933592
