,Method,Metric,Mean Privacy Risk,Error
0,orig,entire_dataset_mia_privacy_risk,0.5023630779730424,0.0014116109054340931
1,orig,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5,0.0
2,orig,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5103877352368591,0.002445019170724961
3,orig,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5146713922868975,0.0028435512999308568
4,orig,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5251225877368659,0.0035385952621799985
5,cpp,entire_dataset_mia_privacy_risk,0.5003455041801741,0.001545141666758947
6,cpp,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5,0.0
7,cpp,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5,0.0
8,cpp,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5,0.0
9,cpp,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5,0.0
