,Method,Metric,Mean,Error
0,orig,bal_acc,0.5790387517610036,0.003758532342469632
1,orig,avg_odds_diff,-0.03935261395622867,0.007315414558473478
2,orig,disp_imp,0.08329877112344504,0.010341915056369085
3,orig,stat_par_diff,-0.05420397627630208,0.006974985540897041
4,orig,eq_opp_diff,-0.016121085166660165,0.010252269722245038
5,orig,theil_ind,0.1427757123922921,0.0025284980236595323
6,orig,unpriv_fpr,0.5435040925483202,0.0017917356560256858
7,orig,unpriv_fnr,0.2729878353607731,0.0024239644446888203
8,orig,priv_fpr,0.6060882352941178,0.002586823738676233
9,orig,priv_fnr,0.256866750194113,0.012676234166933857
10,cpp,bal_acc,0.5667659187880105,0.007631898665277135
11,cpp,avg_odds_diff,-0.04499507063198792,0.0034873801957017317
12,cpp,disp_imp,0.1494521334110391,0.01525208530904932
13,cpp,stat_par_diff,-0.05360766533985058,0.00582341941523051
14,cpp,eq_opp_diff,-0.03524014464066584,0.004501136599000962
15,cpp,theil_ind,0.24044219729224392,0.0408006858990388
16,cpp,unpriv_fpr,0.2769880986147853,0.1262020027670826
17,cpp,unpriv_fnr,0.5800116647225462,0.11985092160863071
18,cpp,priv_fpr,0.3317380952380954,0.13767789975748704
19,cpp,priv_fnr,0.5447715200818803,0.11534978500962974
