,Method,Metric,Mean,Error
0,orig,bal_acc,0.5272912147079475,0.004698551016931765
1,orig,avg_odds_diff,-0.013889519727650925,0.007305377700094639
2,orig,disp_imp,0.006175536276982224,0.0007747655767556622
3,orig,stat_par_diff,-0.0058359224910006,0.002052438456312256
4,orig,eq_opp_diff,-0.003062772116083795,0.0010759177053608073
5,orig,theil_ind,0.025261643284355047,0.0016356234078486655
6,orig,unpriv_fpr,0.926923076923077,0.017200522903844526
7,orig,unpriv_fnr,0.00946215139442231,0.0022271593401392326
8,orig,priv_fpr,0.951639344262295,0.003665685209016053
9,orig,priv_fnr,0.006399379278338557,0.0011512416347784333
10,cpp,bal_acc,0.5,0.0
11,cpp,avg_odds_diff,0.0,0.0
12,cpp,disp_imp,0.0,0.0
13,cpp,stat_par_diff,0.0,0.0
14,cpp,eq_opp_diff,0.0,0.0
15,cpp,theil_ind,0.018881859658133618,0.00026846301811321176
16,cpp,unpriv_fpr,1.0,0.0
17,cpp,unpriv_fnr,0.0,0.0
18,cpp,priv_fpr,1.0,0.0
19,cpp,priv_fnr,0.0,0.0
