,Method,Metric,Mean,Error
0,orig,bal_acc,0.6985147007475164,0.0005532205163094627
1,orig,avg_odds_diff,-0.09842564488814201,0.007767833619170921
2,orig,disp_imp,0.4104171030661015,0.025799975761950027
3,orig,stat_par_diff,-0.12523689061020257,0.005067772371764994
4,orig,eq_opp_diff,-0.13278264391199518,0.023758643461202284
5,orig,theil_ind,0.11917889382575757,0.002406032404323415
6,orig,unpriv_fpr,0.13724870142466106,0.03553727312060877
7,orig,unpriv_fnr,0.5136234177215192,0.05087762265260599
8,orig,priv_fpr,0.20131734728894984,0.043760249343469206
9,orig,priv_fnr,0.38084077380952375,0.027118979191403703
10,cpp,bal_acc,0.6800368434739409,0.042376275838128544
11,cpp,avg_odds_diff,-0.09649942396313364,0.022713607554856737
12,cpp,disp_imp,0.3975919732441472,0.09358343994549377
13,cpp,stat_par_diff,-0.11017608897126965,0.025932760466823572
14,cpp,eq_opp_diff,-0.14419642857142864,0.033940317515621814
15,cpp,theil_ind,0.11842665250266973,0.021679611257721686
16,cpp,unpriv_fpr,0.1640000000000001,0.1967739820199815
17,cpp,unpriv_fnr,0.534375,0.12577882373436317
18,cpp,priv_fpr,0.2128024193548387,0.18528708442588984
19,cpp,priv_fnr,0.3901785714285714,0.09183850621874136
