,Method,Metric,Mean,Error
0,orig,bal_acc,0.6191092072218678,0.016594318880121535
1,orig,avg_odds_diff,0.06057591097712003,0.048924304573998066
2,orig,disp_imp,0.18283104044637805,0.08239882160279423
3,orig,stat_par_diff,0.08816606153742226,0.04492189696076499
4,orig,eq_opp_diff,0.07171204580004258,0.09084291363591379
5,orig,theil_ind,0.2593241132291234,0.059314115143654096
6,orig,unpriv_fpr,0.3638832703519505,0.10999592720153108
7,orig,unpriv_fnr,0.39893870368553974,0.12271638669859698
8,orig,priv_fpr,0.3144434941977532,0.1100118525027085
9,orig,priv_fnr,0.4706507494855824,0.11630768036957609
10,transf,bal_acc,0.6193936939439323,0.016263103602453716
11,transf,avg_odds_diff,0.054360388031991315,0.05206501400602785
12,transf,disp_imp,0.18183995332728425,0.0834631323268351
13,transf,stat_par_diff,0.08236899412020784,0.04904453590981809
14,transf,eq_opp_diff,0.06389647898369702,0.08341748223751612
15,transf,theil_ind,0.2610036164790016,0.06200481463733177
16,transf,unpriv_fpr,0.35839057046956196,0.11993695603304026
17,transf,unpriv_fnr,0.40384642842383045,0.12726334052115199
18,transf,priv_fpr,0.31356627338927645,0.11943912217984032
19,transf,priv_fnr,0.46774290740752755,0.12788745913492935
20,dir,bal_acc,0.6194965918687925,0.02311548993026434
21,dir,avg_odds_diff,0.06113327085640365,0.08735725026217668
22,dir,disp_imp,0.19998391384808076,0.12786487710629707
23,dir,stat_par_diff,0.09282734128307076,0.0892267175236187
24,dir,eq_opp_diff,0.053545008036109384,0.11185790878031406
25,dir,theil_ind,0.2516208394475119,0.0526895344975152
26,dir,unpriv_fpr,0.3833919419770876,0.09806843203922364
27,dir,unpriv_fnr,0.3858755271494863,0.10910627748080766
28,dir,priv_fpr,0.3146704083003896,0.08508234506993691
29,dir,priv_fnr,0.4394205351855957,0.09656632010687276
30,rew,bal_acc,0.6198483976908975,0.020080351658952604
31,rew,avg_odds_diff,0.053425629103794205,0.05493093961442488
32,rew,disp_imp,0.191070556143296,0.12303896641060653
33,rew,stat_par_diff,0.08369696360644834,0.052422334854338046
34,rew,eq_opp_diff,0.055721207703856426,0.07189363854340573
35,rew,theil_ind,0.24342114651045343,0.06698921960776644
36,rew,unpriv_fpr,0.39410763551003447,0.1266443490626374
37,rew,unpriv_fnr,0.36941149275579827,0.1291957985573244
38,rew,priv_fpr,0.34297758500630254,0.14576461800944446
39,rew,priv_fnr,0.4251327004596547,0.16156149419651014
40,eg,bal_acc,0.6148374006320394,0.02589795216994656
41,eg,avg_odds_diff,0.0028697702324629428,0.08820558208428675
42,eg,disp_imp,0.12386203036432744,0.09653651930876522
43,eg,stat_par_diff,0.030614591074684137,0.0832808310952247
44,eg,eq_opp_diff,0.0087264036124103,0.10352057091711649
45,eg,theil_ind,0.21809431947501082,0.03068177757705853
46,eg,unpriv_fpr,0.4414114158694084,0.07630632717410538
47,eg,unpriv_fnr,0.3265479113004766,0.06732846548152785
48,eg,priv_fpr,0.4443982790168929,0.1129183039181696
49,eg,priv_fnr,0.33527431491288695,0.11034711114928439
