,Method,Metric,Mean,Error
0,orig,bal_acc,0.6203942025541943,0.05368403424571897
1,orig,avg_odds_diff,0.012595710704351698,0.1451968337819074
2,orig,disp_imp,0.15988229769317247,0.15152623921030944
3,orig,stat_par_diff,-0.010368998507317156,0.13271770182904943
4,orig,eq_opp_diff,0.011355298993921379,0.13064738954129831
5,orig,theil_ind,0.31802804724043676,0.12552150542129759
6,orig,unpriv_fpr,0.42847831906655437,0.22645563672202018
7,orig,unpriv_fnr,0.3294710529246698,0.18940228294627212
8,orig,priv_fpr,0.41464219665177227,0.2016925389862625
9,orig,priv_fnr,0.3408263519185912,0.13729471840312743
10,transf,bal_acc,0.6280416107641081,0.041876912428648556
11,transf,avg_odds_diff,0.018198631787615015,0.09786544661822508
12,transf,disp_imp,0.10273212215792585,0.07523868787625695
13,transf,stat_par_diff,0.0018085009021481997,0.07281479656339677
14,transf,eq_opp_diff,0.03017024854596025,0.0866717397037322
15,transf,theil_ind,0.33220067133694103,0.176897761636545
16,transf,unpriv_fpr,0.40143237481472777,0.21874703064191497
17,transf,unpriv_fnr,0.32430323032234576,0.21608218331698928
18,transf,priv_fpr,0.395205359785458,0.217763200490479
19,transf,priv_fnr,0.35447347886830605,0.18174899594835806
20,dir,bal_acc,0.6148827478840764,0.05175387352443139
21,dir,avg_odds_diff,-0.008249873541042427,0.10140733084550752
22,dir,disp_imp,0.1498941987024725,0.12168601940760235
23,dir,stat_par_diff,-0.02242067656832154,0.09314651735415269
24,dir,eq_opp_diff,0.003743319592035435,0.10150120062114065
25,dir,theil_ind,0.33613322614217567,0.16385851618936434
26,dir,unpriv_fpr,0.40629915835798186,0.2484215730817621
27,dir,unpriv_fnr,0.34844429118829423,0.21912277297663027
28,dir,priv_fpr,0.4265422250321021,0.20727577635244507
29,dir,priv_fnr,0.35218761078032956,0.17629471295597704
30,rew,bal_acc,0.6248130154401532,0.04322588106102034
31,rew,avg_odds_diff,0.039267703265221485,0.10035062267739585
32,rew,disp_imp,0.12275371772004155,0.08172781608897878
33,rew,stat_par_diff,0.016355130771594277,0.08372347694057164
34,rew,eq_opp_diff,0.031990182916473354,0.08819748460692417
35,rew,theil_ind,0.352764718386477,0.14931790741568374
36,rew,unpriv_fpr,0.40369179839768077,0.1963677287217406
37,rew,unpriv_fnr,0.3503003291685826,0.18789594578832888
38,rew,priv_fpr,0.35714657478371115,0.19143937395482227
39,rew,priv_fnr,0.3822905120850558,0.15354939504492493
40,eg,bal_acc,0.5811541853619172,0.0460409127051609
41,eg,avg_odds_diff,0.00014925619794172452,0.09218365954669924
42,eg,disp_imp,0.07441309836787531,0.07967404853449676
43,eg,stat_par_diff,-0.010321102361767271,0.08129551289859903
44,eg,eq_opp_diff,0.009355612156966703,0.06770893759061135
45,eg,theil_ind,0.18529799929350826,0.0783117437781573
46,eg,unpriv_fpr,0.6569899708135001,0.2296103757965687
47,eg,unpriv_fnr,0.1705853524598839,0.11381444599989655
48,eg,priv_fpr,0.6660470705745836,0.16404223518886837
49,eg,priv_fnr,0.17994096461685066,0.10503592110930782
