,Method,Metric,Mean,Error
0,orig,bal_acc,0.7374679614932036,0.006248391983567265
1,orig,avg_odds_diff,-0.32025021204661963,0.05883961084525819
2,orig,disp_imp,0.6986961994091655,0.03987075855024593
3,orig,stat_par_diff,-0.37845080839813655,0.05988520342337587
4,orig,eq_opp_diff,-0.34809242295447207,0.06048955532963846
5,orig,theil_ind,0.10788014752042359,0.00796290847944997
6,orig,unpriv_fpr,0.12212395105505233,0.02026441845601518
7,orig,unpriv_fnr,0.51856793294468,0.051996157167424936
8,orig,priv_fpr,0.4145319521938193,0.07342131127547513
9,orig,priv_fnr,0.17047550999020794,0.04848469873354373
10,transf,bal_acc,0.7160649794446328,0.009986209364241595
11,transf,avg_odds_diff,-0.1753566766177216,0.09830266893653641
12,transf,disp_imp,0.44168488673309464,0.13935694091908418
13,transf,stat_par_diff,-0.23626793445479355,0.10217479135903247
14,transf,eq_opp_diff,-0.19648850394490985,0.09611088763683193
15,transf,theil_ind,0.10815567602075526,0.01751861478796875
16,transf,unpriv_fpr,0.25449812186800036,0.09074897071362491
17,transf,unpriv_fnr,0.3851901991152781,0.12123540917626566
18,transf,priv_fpr,0.4087229711585336,0.1256026071713446
19,transf,priv_fnr,0.18870169517036817,0.0928583308923094
20,dir,bal_acc,0.7374679614932036,0.006248391983567265
21,dir,avg_odds_diff,-0.32025021204661963,0.05883961084525819
22,dir,disp_imp,0.6986961994091655,0.03987075855024593
23,dir,stat_par_diff,-0.37845080839813655,0.05988520342337587
24,dir,eq_opp_diff,-0.34809242295447207,0.06048955532963846
25,dir,theil_ind,0.10788014752042359,0.00796290847944997
26,dir,unpriv_fpr,0.12212395105505233,0.02026441845601518
27,dir,unpriv_fnr,0.51856793294468,0.051996157167424936
28,dir,priv_fpr,0.4145319521938193,0.07342131127547513
29,dir,priv_fnr,0.17047550999020794,0.04848469873354373
30,rew,bal_acc,0.7143588805180372,0.009104539005313135
31,rew,avg_odds_diff,-0.020768869155127646,0.049473472730341195
32,rew,disp_imp,0.21346358624608647,0.11658658462989194
33,rew,stat_par_diff,-0.09243786800982245,0.04941348145811306
34,rew,eq_opp_diff,-0.035588517398011825,0.050985165014931756
35,rew,theil_ind,0.11728980987997135,0.012260041119472893
36,rew,unpriv_fpr,0.3094816443888102,0.08438916726108983
37,rew,unpriv_fnr,0.28806461711343034,0.08768778987406131
38,rew,priv_fpr,0.3154308653010537,0.061065778099042824
39,rew,priv_fnr,0.25247609971541857,0.06321356457728533
40,eg,bal_acc,0.6808010743612554,0.024413732320525027
41,eg,avg_odds_diff,-0.048336784837234775,0.14176121660238575
42,eg,disp_imp,0.3894405375420199,0.16822296969921655
43,eg,stat_par_diff,-0.10557173619688745,0.13130532909192752
44,eg,eq_opp_diff,-0.06338941680298517,0.16172163478118248
45,eg,theil_ind,0.16118163789936552,0.02305834187480453
46,eg,unpriv_fpr,0.11590809288670492,0.04555789767103257
47,eg,unpriv_fnr,0.5558794994833839,0.0882868906791744
48,eg,priv_fpr,0.14919224575818937,0.11776512642662683
49,eg,priv_fnr,0.49249008268039873,0.13537243796602705
