,Method,Metric,Mean,Error
0,orig,bal_acc,0.6216995771767886,0.017911438765986377
1,orig,avg_odds_diff,0.09393192531370326,0.05937348691676507
2,orig,disp_imp,0.25528597147645193,0.12119151202262674
3,orig,stat_par_diff,0.1149864062142282,0.0601791579917493
4,orig,eq_opp_diff,0.1184041450304731,0.07322400656708801
5,orig,theil_ind,0.26580628127268063,0.05447275678850788
6,orig,unpriv_fpr,0.3580006835611027,0.11137049705293799
7,orig,unpriv_fnr,0.39110709141451055,0.10614393247296516
8,orig,priv_fpr,0.28854097796416933,0.11081117830759371
9,orig,priv_fnr,0.5095112364449836,0.12335947265010874
10,transf,bal_acc,0.6207388138418017,0.01895365079943094
11,transf,avg_odds_diff,0.09494480533311597,0.06147091128012443
12,transf,disp_imp,0.25933658278069105,0.11880972217203148
13,transf,stat_par_diff,0.11578513652600267,0.06281759567295485
14,transf,eq_opp_diff,0.11976327815127327,0.07314053633040053
15,transf,theil_ind,0.2665355230170048,0.0552980213209804
16,transf,unpriv_fpr,0.3591837894776725,0.11176010809864488
17,transf,unpriv_fnr,0.3918057917046791,0.10734268469461729
18,transf,priv_fpr,0.28905745696271395,0.1106579663634685
19,transf,priv_fnr,0.5115690698559523,0.12449032771387725
20,dir,bal_acc,0.6097067661385032,0.02260656283577595
21,dir,avg_odds_diff,0.07554616951318105,0.05865564975088445
22,dir,disp_imp,0.19296232021574405,0.11281883499976417
23,dir,stat_par_diff,0.09377503644659631,0.05769118141405779
24,dir,eq_opp_diff,0.10181904204445524,0.07433363565911728
25,dir,theil_ind,0.25032965236225063,0.06877476485299473
26,dir,unpriv_fpr,0.4043421816076946,0.16645400241311598
27,dir,unpriv_fnr,0.36523833564980673,0.14013937332147697
28,dir,priv_fpr,0.35506888462578773,0.16049342416698845
29,dir,priv_fnr,0.467057377694262,0.15649095245112804
30,rew,bal_acc,0.6138472979180685,0.018623684528584056
31,rew,avg_odds_diff,0.06469930186993558,0.0789803783933853
32,rew,disp_imp,0.17383112070037834,0.1369863099551704
33,rew,stat_par_diff,0.08490591361799157,0.07719612703886224
34,rew,eq_opp_diff,0.0909114594441097,0.09076988245055327
35,rew,theil_ind,0.24947656424175246,0.04882810242128503
36,rew,unpriv_fpr,0.39625333996190815,0.12170500239705953
37,rew,unpriv_fnr,0.36398445605507856,0.09524389043297227
38,rew,priv_fpr,0.3577661956661467,0.12513120816992282
39,rew,priv_fnr,0.45489591549918823,0.12010828117637881
40,eg,bal_acc,0.6048242800386114,0.02148291147263224
41,eg,avg_odds_diff,0.02679153976623222,0.07967292663415933
42,eg,disp_imp,0.1460041563301295,0.08263302795099753
43,eg,stat_par_diff,0.04456451356418864,0.07686659710033039
44,eg,eq_opp_diff,0.0568069667873638,0.09813946928126144
45,eg,theil_ind,0.2350453615549321,0.05072042502119601
46,eg,unpriv_fpr,0.4301657513128941,0.07241641431079612
47,eg,unpriv_fnr,0.3418724205058755,0.09336275369131401
48,eg,priv_fpr,0.43338963856779344,0.10835747665779465
49,eg,priv_fnr,0.3986793872932392,0.12831320308883432
