,Method,Metric,Mean,Error
0,orig,bal_acc,0.857015217521757,0.005706103941082723
1,orig,avg_odds_diff,0.15319219479303042,0.01918459164961968
2,orig,disp_imp,0.5715171581937845,0.015587280959131934
3,orig,stat_par_diff,0.3550755562249034,0.022098066310084596
4,orig,eq_opp_diff,0.0191834057336726,0.018117100449170566
5,orig,theil_ind,0.05637659720252971,0.0015320090626674552
6,orig,unpriv_fpr,0.46982446700369895,0.029833461250881765
7,orig,unpriv_fnr,0.07442277716232983,0.020692238829702784
8,orig,priv_fpr,0.18262348315131072,0.010355870847488038
9,orig,priv_fnr,0.09360618289600242,0.012037155678375079
10,transf,bal_acc,0.8396860873430357,0.0163472899181382
11,transf,avg_odds_diff,0.09328759147993462,0.0709963632495879
12,transf,disp_imp,0.5029363134626613,0.06754965811919267
13,transf,stat_par_diff,0.29825161456851046,0.07201752283806043
14,transf,eq_opp_diff,-0.0654608996510899,0.0726078947850497
15,transf,theil_ind,0.06006292355186493,0.002632871696145572
16,transf,unpriv_fpr,0.4600835444431473,0.10773057272968033
17,transf,unpriv_fnr,0.15730799545712162,0.08537740683594738
18,transf,priv_fpr,0.20804746183218809,0.05076335207370355
19,transf,priv_fnr,0.09184709580603172,0.030901533452829706
20,dir,bal_acc,0.8530586628303908,0.010677146690437934
21,dir,avg_odds_diff,0.16296252050911403,0.04610141119047867
22,dir,disp_imp,0.587576895166056,0.03924531986189633
23,dir,stat_par_diff,0.3716737842273931,0.04766671417553859
24,dir,eq_opp_diff,0.006464412584929624,0.04165971675472107
25,dir,theil_ind,0.05733661472968712,0.0028717823920309986
26,dir,unpriv_fpr,0.49557709487959645,0.057419819219703544
27,dir,unpriv_fnr,0.09814288013735897,0.04215381102580905
28,dir,priv_fpr,0.17611646644629814,0.017615267499896482
29,dir,priv_fnr,0.1046072927222886,0.031187388040477035
30,rew,bal_acc,0.8539588706979335,0.006314745502902126
31,rew,avg_odds_diff,0.11809225608346001,0.029953437218745143
32,rew,disp_imp,0.5421558828808051,0.0226349048001966
33,rew,stat_par_diff,0.3196999077307118,0.029955577704350266
34,rew,eq_opp_diff,-0.016382341082290596,0.03205025578148641
35,rew,theil_ind,0.05719426460907436,0.001742855780193332
36,rew,unpriv_fpr,0.4385961362544489,0.039057171766551456
37,rew,unpriv_fnr,0.10889635168262066,0.03238788767989361
38,rew,priv_fpr,0.1860292830052383,0.010261109433135303
39,rew,priv_fnr,0.09251401060033002,0.014455524683331276
40,eg,bal_acc,0.8069687061936172,0.009958906044219784
41,eg,avg_odds_diff,0.05820691449700649,0.04145590734786925
42,eg,disp_imp,0.5954169057732892,0.04908102784243727
43,eg,stat_par_diff,0.22418668269816627,0.03794721371063004
44,eg,eq_opp_diff,-0.032138265269904605,0.05536885631157316
45,eg,theil_ind,0.06400929732786644,0.0024243464993683466
46,eg,unpriv_fpr,0.22683347564262463,0.036446170081944555
47,eg,unpriv_fnr,0.32867413383415095,0.048783693115002504
48,eg,priv_fpr,0.07828138137870702,0.008929640401585419
49,eg,priv_fnr,0.2965358685642464,0.029937047362708878
