,Method,Metric,Mean,Error
0,orig,bal_acc,0.5813276160762247,0.07523070673074485
1,orig,disp_imp,0.44289656972387165,0.13790730948702634
2,orig,avg_odds_diff,0.22323706554637646,0.09780318093937443
3,orig,stat_par_diff,0.2431635357105597,0.1481290747247699
4,orig,eq_opp_diff,0.2538698559690967,0.06352238943958315
5,orig,theil_ind,0.12519311055555862,0.020603955483972036
6,orig,unpriv_fpr,0.4603104440223893,0.15475239885551062
7,orig,unpriv_fnr,0.34603144861659,0.1646580827744024
8,orig,priv_fpr,0.2677061688987331,0.1008824646769001
9,orig,priv_fnr,0.5999013045856867,0.14052095006557844
10,transf,bal_acc,0.6858997587170881,0.10696257493256023
11,transf,disp_imp,0.3675383900528752,0.11085819269214185
12,transf,avg_odds_diff,0.08527140527872741,0.05697372042067128
13,transf,stat_par_diff,0.17231875694509763,0.06002158863249854
14,transf,eq_opp_diff,0.06708595230776493,0.11751937533531374
15,transf,theil_ind,0.09770349520728766,0.025471714020145964
16,transf,unpriv_fpr,0.3616928919822865,0.09134771568004657
17,transf,unpriv_fnr,0.30889513736189156,0.10859677453109283
18,transf,priv_fpr,0.2582360337325965,0.10072260896968689
19,transf,priv_fnr,0.3759810896696565,0.18223102098295535
20,dir,bal_acc,0.5837003051624068,0.0882317526264267
21,dir,disp_imp,0.48755098305446676,0.1160293167728053
22,dir,avg_odds_diff,0.24111987398714266,0.07021618028388314
23,dir,stat_par_diff,0.2542207372195369,0.13055018876211388
24,dir,eq_opp_diff,0.29232988417488415,0.05103588690106162
25,dir,theil_ind,0.12771253043596592,0.024042458795656228
26,dir,unpriv_fpr,0.4255160684628919,0.14922847983570506
27,dir,unpriv_fnr,0.3410042400278761,0.17404664146133556
28,dir,priv_fpr,0.23560620466349075,0.06820508356764081
29,dir,priv_fnr,0.6333341242027603,0.17938429778329962
30,rew,bal_acc,0.5475676998079617,0.010321002990839453
31,rew,disp_imp,0.37635950507607757,0.059927177271466944
32,rew,avg_odds_diff,0.17104184850166243,0.04016933163663887
33,rew,stat_par_diff,0.17032824830435528,0.03847120888314075
34,rew,eq_opp_diff,0.22105529345342512,0.06312061096189231
35,rew,theil_ind,0.13537465333682053,0.009260602508398101
36,rew,unpriv_fpr,0.39883362760078117,0.10633032108040193
37,rew,unpriv_fnr,0.4344605375971711,0.10051093244615718
38,rew,priv_fpr,0.2778052240508815,0.0744450463261502
39,rew,priv_fnr,0.6555158310505964,0.07949069594566355
40,eg,bal_acc,0.6123062595168152,0.07865029946233737
41,eg,disp_imp,0.5962358459186697,0.2299858930596656
42,eg,avg_odds_diff,0.09383932184094576,0.22299483290753022
43,eg,stat_par_diff,0.15203339701612756,0.22828113329714445
44,eg,eq_opp_diff,0.060880202045039765,0.25748527789884973
45,eg,theil_ind,0.1088573879341923,0.016437485025498206
46,eg,unpriv_fpr,0.15870997302071907,0.23925837396128888
47,eg,unpriv_fnr,0.6866120721359036,0.2967135800286054
48,eg,priv_fpr,0.031911531383867285,0.034484772586861244
49,eg,priv_fnr,0.7474922741809432,0.1955594221226368
