,Method,Metric,Mean,Error
0,orig,bal_acc,0.511948073486148,0.02704571350195871
1,orig,disp_imp,0.4887890392100247,0.26067523362413086
2,orig,avg_odds_diff,0.004890054625315617,0.063056405565177
3,orig,stat_par_diff,0.0020630775730493133,0.061506806894472764
4,orig,eq_opp_diff,0.013140818918055954,0.04715314879582893
5,orig,theil_ind,0.9931461778845818,0.3836127393857002
6,orig,unpriv_fpr,0.12181429681429681,0.266345384626025
7,orig,unpriv_fnr,0.8438809229985701,0.3130276997176694
8,orig,priv_fpr,0.12517500648172153,0.2571932763366468
9,orig,priv_fnr,0.8570217419166261,0.29149656583808636
10,transf,bal_acc,0.5122112313808849,0.027132088211506845
11,transf,disp_imp,0.4901768656440364,0.25515642830411484
12,transf,avg_odds_diff,0.00716278189804289,0.06759995622456802
13,transf,stat_par_diff,0.005004254043637549,0.06595445717703509
14,transf,eq_opp_diff,0.0176862734635105,0.05133391427473782
15,transf,theil_ind,0.9925971791301297,0.3846614594384888
16,transf,unpriv_fpr,0.12181429681429681,0.266345384626025
17,transf,unpriv_fnr,0.8393354684531154,0.3222811646700619
18,transf,priv_fpr,0.12517500648172153,0.2571932763366468
19,transf,priv_fnr,0.8570217419166261,0.29149656583808636
20,dir,bal_acc,0.5091409392766099,0.02253887827099227
21,dir,disp_imp,0.4986461810734665,0.23513754505151221
22,dir,avg_odds_diff,0.012108489112240531,0.044972847994315696
23,dir,stat_par_diff,0.011152777777777779,0.043786988912069585
24,dir,eq_opp_diff,0.02731254166487209,0.05326597230493244
25,dir,theil_ind,1.0838443775765474,0.31723322284162364
26,dir,unpriv_fpr,0.06406371406371407,0.18503053596796717
27,dir,unpriv_fnr,0.8931404869640165,0.24659364564013814
28,dir,priv_fpr,0.06715927750410508,0.19434303422496793
29,dir,priv_fnr,0.9204530286288886,0.21403272655631872
30,rew,bal_acc,0.512057332612075,0.0268508400698833
31,rew,disp_imp,0.48985546855640416,0.2569175972254136
32,rew,avg_odds_diff,0.008361221139960389,0.06639839819508063
33,rew,stat_par_diff,0.005559809599193102,0.06546245545622166
34,rew,eq_opp_diff,0.016236998101191658,0.05020409590749913
35,rew,theil_ind,0.9915904909125608,0.3866357464015547
36,rew,unpriv_fpr,0.12566045066045067,0.2720046412342682
37,rew,unpriv_fnr,0.8393354684531154,0.3222811646700619
38,rew,priv_fpr,0.12517500648172153,0.2571932763366468
39,rew,priv_fnr,0.8555724665543071,0.29444612850550267
40,eg,bal_acc,0.5,0.0
41,eg,disp_imp,0.5,0.16222142113076254
42,eg,avg_odds_diff,0.0,0.0
43,eg,stat_par_diff,0.0,0.0
44,eg,eq_opp_diff,0.0,0.0
45,eg,theil_ind,1.205122627168366,0.1430654256585718
46,eg,unpriv_fpr,0.0,0.0
47,eg,unpriv_fnr,1.0,0.0
48,eg,priv_fpr,0.0,0.0
49,eg,priv_fnr,1.0,0.0
