,Method,Metric,Mean,Error
0,orig,bal_acc,0.5259564750160556,0.022424163088606765
1,orig,disp_imp,0.7191917748465642,0.29012682151591024
2,orig,avg_odds_diff,0.15416238244243397,0.14924608490867666
3,orig,stat_par_diff,0.1599642483137364,0.14914639149022546
4,orig,eq_opp_diff,0.18602333845300673,0.15895997236249965
5,orig,theil_ind,1.0170873716207878,0.21313379799248228
6,orig,unpriv_fpr,0.13640415140415138,0.16750332542302201
7,orig,unpriv_fnr,0.7606753020287503,0.20476199724793182
8,orig,priv_fpr,0.01410272497229019,0.02683836701469867
9,orig,priv_fnr,0.9466986404817568,0.05817957494020837
10,transf,bal_acc,0.5254516249278722,0.022716998853345237
11,transf,disp_imp,0.7268930458362666,0.29616005018603475
12,transf,avg_odds_diff,0.1339057080739175,0.1310822771652623
13,transf,stat_par_diff,0.14112463888723675,0.13185224280438304
14,transf,eq_opp_diff,0.16858691279289684,0.14527021341628213
15,transf,theil_ind,1.039434375788835,0.21971694188428578
16,transf,unpriv_fpr,0.11332722832722833,0.15136793824589592
17,transf,unpriv_fnr,0.782497692601141,0.19301661286228164
18,transf,priv_fpr,0.01410272497229019,0.02683836701469867
19,transf,priv_fnr,0.9510846053940375,0.05875197757937482
20,dir,bal_acc,0.5234052259436937,0.02265488588791184
21,dir,disp_imp,0.7384670849441008,0.2720024033642836
22,dir,avg_odds_diff,0.17122403338244085,0.14284824652244063
23,dir,stat_par_diff,0.17416385665159345,0.1380126797778397
24,dir,eq_opp_diff,0.1987557385616839,0.14944438464696547
25,dir,theil_ind,1.0045910202760189,0.21708806261500024
26,dir,unpriv_fpr,0.16223748473748473,0.16976578822024233
27,dir,unpriv_fnr,0.7412468173588864,0.19621787644160565
28,dir,priv_fpr,0.01854515653428697,0.029758393551786853
29,dir,priv_fnr,0.9400025559205704,0.05989298464251288
30,rew,bal_acc,0.5284346885236809,0.028580945531629664
31,rew,disp_imp,0.7005841785935825,0.31689116128361167
32,rew,avg_odds_diff,0.15445916494354447,0.1410052783191102
33,rew,stat_par_diff,0.1570900142101442,0.1353471855830814
34,rew,eq_opp_diff,0.18028206182626846,0.14709280112802445
35,rew,theil_ind,0.9871829963927405,0.2877625158370141
36,rew,unpriv_fpr,0.16332722832722832,0.2469475061620008
37,rew,unpriv_fnr,0.7352965141499624,0.2565930043969983
38,rew,priv_fpr,0.03469096026640784,0.09266360112495477
39,rew,priv_fnr,0.9155785759762308,0.17954846120393203
40,eg,bal_acc,0.5,0.0
41,eg,disp_imp,0.5,0.16222142113076254
42,eg,avg_odds_diff,0.0,0.0
43,eg,stat_par_diff,0.0,0.0
44,eg,eq_opp_diff,0.0,0.0
45,eg,theil_ind,1.2159638280413547,0.1187735529360689
46,eg,unpriv_fpr,0.0,0.0
47,eg,unpriv_fnr,1.0,0.0
48,eg,priv_fpr,0.0,0.0
49,eg,priv_fnr,1.0,0.0
