,Method,Metric,Mean,Error
0,orig,bal_acc,0.507305109347292,0.00645125021353087
1,orig,disp_imp,0.5,0.16222142113076254
2,orig,avg_odds_diff,-0.3982151786181555,0.2048962651687821
3,orig,stat_par_diff,-0.4018818406370981,0.20681763604302536
4,orig,eq_opp_diff,-0.38785326448076274,0.19957972414367353
5,orig,theil_ind,0.25814111474878065,0.05552440544457328
6,orig,unpriv_fpr,0.0,0.0
7,orig,unpriv_fnr,1.0,0.0
8,orig,priv_fpr,0.4085770927555482,0.2103892702070267
9,orig,priv_fnr,0.6121467355192374,0.1995797241436735
10,transf,bal_acc,0.5007251724989417,0.00238359083763289
11,transf,disp_imp,0.5,0.16222142113076254
12,transf,avg_odds_diff,-0.04007370753083863,0.12254738573430102
13,transf,stat_par_diff,-0.04047790541866577,0.12389201189095476
14,transf,eq_opp_diff,-0.03897787431953781,0.11890402351310797
15,transf,theil_ind,0.35144942539990753,0.0324401123300157
16,transf,unpriv_fpr,0.0,0.0
17,transf,unpriv_fnr,1.0,0.0
18,transf,priv_fpr,0.04116954074213945,0.12620614864145094
19,transf,priv_fnr,0.9610221256804623,0.11890402351310798
20,dir,bal_acc,0.5001683785782027,0.00035055152397498325
21,dir,disp_imp,0.5,0.16222142113076254
22,dir,avg_odds_diff,-0.0005407076707728109,0.0010450071953409207
23,dir,stat_par_diff,-0.00048484635994858395,0.0009511393357398688
24,dir,eq_opp_diff,-0.0006951685277757703,0.0013270817142817944
25,dir,theil_ind,0.3604678395194751,0.010869580292006084
26,dir,unpriv_fpr,0.0,0.0
27,dir,unpriv_fnr,1.0,0.0
28,dir,priv_fpr,0.0003862468137698516,0.0008025600396432451
29,dir,priv_fnr,0.9993048314722243,0.0013270817142817942
30,rew,bal_acc,0.5006268468243774,0.0023758716375584703
31,rew,disp_imp,0.5,0.16222142113076254
32,rew,avg_odds_diff,-0.021141404290532413,0.09316800645694887
33,rew,stat_par_diff,-0.02126100552194526,0.09384773694768009
34,rew,eq_opp_diff,-0.02080777122675431,0.09127469749245709
35,rew,theil_ind,0.35550487646686535,0.025716198323332704
36,rew,unpriv_fpr,0.0,0.0
37,rew,unpriv_fnr,1.0,0.0
38,rew,priv_fpr,0.02147503735431051,0.0950618460819407
39,rew,priv_fnr,0.9791922287732457,0.09127469749245709
40,eg,bal_acc,0.5,0.0
41,eg,disp_imp,0.5,0.16222142113076254
42,eg,avg_odds_diff,0.0,0.0
43,eg,stat_par_diff,0.0,0.0
44,eg,eq_opp_diff,0.0,0.0
45,eg,theil_ind,0.3606276627478736,0.01080637095104921
46,eg,unpriv_fpr,0.0,0.0
47,eg,unpriv_fnr,1.0,0.0
48,eg,priv_fpr,0.0,0.0
49,eg,priv_fnr,1.0,0.0
