,Method,Metric,Mean,Error
0,orig,bal_acc,0.5390753952748492,0.036580532283966904
1,orig,disp_imp,0.5861991608225458,0.49424206102656787
2,orig,avg_odds_diff,0.3582204529573016,0.33362356271428706
3,orig,stat_par_diff,0.3572265190671225,0.3329496138931662
4,orig,eq_opp_diff,0.39449499112448644,0.3581725444805279
5,orig,theil_ind,0.21555189646206144,0.14601270058283847
6,orig,unpriv_fpr,0.7296878502739877,0.274321660128271
7,orig,unpriv_fnr,0.19530874630565376,0.21209515295107345
8,orig,priv_fpr,0.40774193548387094,0.49730353470501315
9,orig,priv_fnr,0.5898037374301401,0.4954013235502562
10,transf,bal_acc,0.5390753952748492,0.036580532283966904
11,transf,disp_imp,0.5861991608225458,0.49424206102656787
12,transf,avg_odds_diff,0.3582204529573016,0.33362356271428706
13,transf,stat_par_diff,0.3572265190671225,0.3329496138931662
14,transf,eq_opp_diff,0.39449499112448644,0.3581725444805279
15,transf,theil_ind,0.21555189646206144,0.14601270058283847
16,transf,unpriv_fpr,0.7296878502739877,0.274321660128271
17,transf,unpriv_fnr,0.19530874630565376,0.21209515295107345
18,transf,priv_fpr,0.40774193548387094,0.49730353470501315
19,transf,priv_fnr,0.5898037374301401,0.4954013235502562
20,dir,bal_acc,0.5361075724620475,0.03573463996931771
21,dir,disp_imp,0.5340741279774646,0.4999535855619953
22,dir,avg_odds_diff,0.3803613983317077,0.3830049839240445
23,dir,stat_par_diff,0.38065798299047027,0.38316351325989434
24,dir,eq_opp_diff,0.40604173585282266,0.40125403740848964
25,dir,theil_ind,0.17905901402894808,0.13192124863367713
26,dir,unpriv_fpr,0.8165858227153547,0.2505094614127647
27,dir,unpriv_fnr,0.12245885155324872,0.1836748508421985
28,dir,priv_fpr,0.4619047619047619,0.5020782682221302
29,dir,priv_fnr,0.5285005874060714,0.49819514794614994
30,rew,bal_acc,0.5312142128545805,0.039338737028794875
31,rew,disp_imp,0.36949726454220766,0.43583296170967223
32,rew,avg_odds_diff,0.24402590818250208,0.32413243140930204
33,rew,stat_par_diff,0.24523457298632168,0.32528705174555733
34,rew,eq_opp_diff,0.25842913683460894,0.33284050153408584
35,rew,theil_ind,0.15384817396275857,0.13200423226126445
36,rew,unpriv_fpr,0.8236233573977036,0.29375135836962407
37,rew,unpriv_fnr,0.12525757904680382,0.2139707275514193
38,rew,priv_fpr,0.5940006778673086,0.4685930586839313
39,rew,priv_fnr,0.3836867158814127,0.45133168688342173
40,eg,bal_acc,0.5107756246494662,0.03316873315199797
41,eg,disp_imp,0.01807830989467495,0.056275743711512116
42,eg,avg_odds_diff,0.009515338674631781,0.029659944558712435
43,eg,stat_par_diff,0.011309010423379437,0.035161316029674886
44,eg,eq_opp_diff,0.00899469580396497,0.0280836980159844
45,eg,theil_ind,0.0691185150368301,0.04823141653485481
46,eg,unpriv_fpr,0.9524923138496243,0.146254346078927
47,eg,unpriv_fnr,0.027093458466007487,0.08349876226860797
48,eg,priv_fpr,0.9424563323043259,0.17727677740764283
49,eg,priv_fnr,0.03608815426997245,0.11143600614111944
