,Method,Metric,Mean,Error
0,orig,bal_acc,0.5723259272984482,0.038392692285697645
1,orig,disp_imp,0.3639176517823884,0.21138096098097794
2,orig,avg_odds_diff,0.12919858185683833,0.16525611071413354
3,orig,stat_par_diff,0.13857957241061936,0.1704919966872346
4,orig,eq_opp_diff,0.16714978634271158,0.17999715310572745
5,orig,theil_ind,0.23769680746915367,0.08275651264710539
6,orig,unpriv_fpr,0.5169666001448213,0.20379741499494194
7,orig,unpriv_fnr,0.33627582577063514,0.15051021750425
8,orig,priv_fpr,0.4257192227738562,0.3156226668287309
9,orig,priv_fnr,0.5034256121133467,0.27451886606835946
10,transf,bal_acc,0.5723259272984482,0.038392692285697645
11,transf,disp_imp,0.3639176517823884,0.21138096098097794
12,transf,avg_odds_diff,0.12919858185683833,0.16525611071413354
13,transf,stat_par_diff,0.13857957241061936,0.1704919966872346
14,transf,eq_opp_diff,0.16714978634271158,0.17999715310572745
15,transf,theil_ind,0.23769680746915367,0.08275651264710539
16,transf,unpriv_fpr,0.5169666001448213,0.20379741499494194
17,transf,unpriv_fnr,0.33627582577063514,0.15051021750425
18,transf,priv_fpr,0.4257192227738562,0.3156226668287309
19,transf,priv_fnr,0.5034256121133467,0.27451886606835946
20,dir,bal_acc,0.5651974645446063,0.03414352621624772
21,dir,disp_imp,0.34746556405018547,0.23551218260372814
22,dir,avg_odds_diff,0.04505822233443289,0.221947229807473
23,dir,stat_par_diff,0.049472635872857676,0.22428023476921427
24,dir,eq_opp_diff,0.09576006179050559,0.2333482347843515
25,dir,theil_ind,0.24569448236573202,0.07985558201964722
26,dir,unpriv_fpr,0.4941058509134538,0.18127438933812356
27,dir,unpriv_fnr,0.3628418891465152,0.1384030041817629
28,dir,priv_fpr,0.49974946803509346,0.3476111733581662
29,dir,priv_fnr,0.45860195093702083,0.3254622155122324
30,rew,bal_acc,0.5404723931598011,0.03202064696757912
31,rew,disp_imp,0.3818654785961244,0.36439789932482713
32,rew,avg_odds_diff,0.03437944961343957,0.1880804542246118
33,rew,stat_par_diff,0.035478878116473225,0.1886276429017284
34,rew,eq_opp_diff,0.0747171783382334,0.19979421816794174
35,rew,theil_ind,0.27727826562706526,0.15408094744528958
36,rew,unpriv_fpr,0.4948432971867639,0.30755017134928975
37,rew,unpriv_fnr,0.41294709363862586,0.2678284383461647
38,rew,priv_fpr,0.5008015762981183,0.4136136949017379
39,rew,priv_fnr,0.48766427197685935,0.4096753451805039
40,eg,bal_acc,0.5257664421180366,0.036061904561669626
41,eg,disp_imp,0.14369325584607132,0.18069762870866457
42,eg,avg_odds_diff,-0.09603141276992541,0.1791467641890505
43,eg,stat_par_diff,-0.09449154779294819,0.17835662730567733
44,eg,eq_opp_diff,-0.06175719242824038,0.16880305812968485
45,eg,theil_ind,0.1537004838267327,0.11664842004397587
46,eg,unpriv_fpr,0.7278676661199845,0.31519450782749864
47,eg,unpriv_fnr,0.1979437443253716,0.22518009674132866
48,eg,priv_fpr,0.8581732992315951,0.22520716398798593
49,eg,priv_fnr,0.13618655189713125,0.224873603283836
