,Method,Metric,Mean,Error
0,orig,bal_acc,0.5013577853680696,0.003014191474943334
1,orig,disp_imp,0.5183764224380538,0.19809424985505208
2,orig,avg_odds_diff,-0.2114779646672235,0.33123888602014
3,orig,stat_par_diff,-0.21339643528773106,0.33424210693312584
4,orig,eq_opp_diff,-0.2063424764542697,0.3232293511934162
5,orig,theil_ind,0.32638297132294963,0.049893370680447385
6,orig,unpriv_fpr,5.8754406580493536e-05,0.00026275769418328905
7,orig,unpriv_fnr,1.0,0.0
8,orig,priv_fpr,0.2166722072867578,0.3393799667020705
9,orig,priv_fnr,0.7936575235457303,0.3232293511934162
10,transf,bal_acc,0.5018154926398111,0.0048391025668718425
11,transf,disp_imp,0.49523566709528666,0.16487756651868268
12,transf,avg_odds_diff,-0.14672069408304955,0.3004825606663918
13,transf,stat_par_diff,-0.14751222469805797,0.30214073539868547
14,transf,eq_opp_diff,-0.14460039490414744,0.2961075287574859
15,transf,theil_ind,0.3351777761294005,0.04688592393791586
16,transf,unpriv_fpr,5.8754406580493536e-05,0.00026275769418328905
17,transf,unpriv_fnr,1.0,0.0
18,transf,priv_fpr,0.14889974766853215,0.304906627631331
19,transf,priv_fnr,0.8553996050958524,0.2961075287574859
20,dir,bal_acc,0.5002887367168858,0.00037520126803759
21,dir,disp_imp,0.509146898417062,0.17180856188840185
22,dir,avg_odds_diff,-0.0008549944419593527,0.0012885139334422938
23,dir,stat_par_diff,-0.0006529990838152593,0.0010349486568872414
24,dir,eq_opp_diff,-0.0013861334594147162,0.00199759516692974
25,dir,theil_ind,0.35578419879715184,0.01315555608034372
26,dir,unpriv_fpr,5.8754406580493536e-05,0.00026275769418328905
27,dir,unpriv_fnr,1.0,0.0
28,dir,priv_fpr,0.0003826098310844829,0.0007857124910737014
29,dir,priv_fnr,0.9986138665405851,0.001997595166929733
30,rew,bal_acc,0.5020156509500996,0.003625265279659724
31,rew,disp_imp,0.5183787048954396,0.19810235455056988
32,rew,avg_odds_diff,-0.25168405621191947,0.35026076720144433
33,rew,stat_par_diff,-0.2534753326736522,0.3527943366856863
34,rew,eq_opp_diff,-0.2468532530766951,0.34346463415987527
35,rew,theil_ind,0.31994157760448994,0.051819330114049135
36,rew,unpriv_fpr,5.8754406580493536e-05,0.00026275769418328905
37,rew,unpriv_fnr,1.0,0.0
38,rew,priv_fpr,0.2565736137537244,0.3571846005594148
39,rew,priv_fnr,0.753146746923305,0.34346463415987527
40,eg,bal_acc,0.5,0.0
41,eg,disp_imp,0.5,0.16222142113076254
42,eg,avg_odds_diff,0.0,0.0
43,eg,stat_par_diff,0.0,0.0
44,eg,eq_opp_diff,0.0,0.0
45,eg,theil_ind,0.35603775321763403,0.013136544470098582
46,eg,unpriv_fpr,0.0,0.0
47,eg,unpriv_fnr,1.0,0.0
48,eg,priv_fpr,0.0,0.0
49,eg,priv_fnr,1.0,0.0
