,Method,Metric,Mean,Error
0,orig,bal_acc,0.7599685609418108,0.010681605228749499
1,orig,disp_imp,0.6177282374343356,0.0759776638392482
2,orig,avg_odds_diff,-0.25428913458406377,0.07358529058413424
3,orig,stat_par_diff,-0.33551633381327617,0.0887748064136831
4,orig,eq_opp_diff,-0.21996597501374526,0.04976301020296161
5,orig,theil_ind,0.09160711408498072,0.0031575049180897256
6,orig,unpriv_fpr,0.1385338320140072,0.024838592750883775
7,orig,unpriv_fnr,0.36596072723725614,0.035452958410026304
8,orig,priv_fpr,0.42714612616838943,0.10182763827507399
9,orig,priv_fnr,0.14599475222351097,0.040869647715353744
10,transf,bal_acc,0.737486904616486,0.020680077996506195
11,transf,disp_imp,0.36065638422776347,0.12220238467254324
12,transf,avg_odds_diff,-0.08540899845513719,0.07105052372132566
13,transf,stat_par_diff,-0.1492687746255402,0.06843699552954494
14,transf,eq_opp_diff,-0.07772453810914218,0.08264279284698291
15,transf,theil_ind,0.0997345177357927,0.006787433041813394
16,transf,unpriv_fpr,0.2017576368274438,0.041262732442558736
17,transf,unpriv_fnr,0.3347764113546862,0.06518865864827311
18,transf,priv_fpr,0.294851095628576,0.06399121250722271
19,transf,priv_fnr,0.257051873245544,0.05790854765174683
20,dir,bal_acc,0.7602847989395668,0.012192270387210326
21,dir,disp_imp,0.6141686717450064,0.08587897352302568
22,dir,avg_odds_diff,-0.24590198121614484,0.08067789515808255
23,dir,stat_par_diff,-0.3246861845483355,0.09209919530180594
24,dir,eq_opp_diff,-0.216009823236801,0.06671922633972853
25,dir,theil_ind,0.0920220826816658,0.004183424432689143
26,dir,unpriv_fpr,0.13449968393451456,0.025484443270912302
27,dir,unpriv_fnr,0.3713311968109587,0.053692198455306615
28,dir,priv_fpr,0.4102938231300032,0.10037407743415228
29,dir,priv_fnr,0.1553213735741576,0.05050013487271861
30,rew,bal_acc,0.7119202435451887,0.021613552516457565
31,rew,disp_imp,0.28447634911583897,0.13708444966673866
32,rew,avg_odds_diff,-0.05237309031386761,0.07395074896214206
33,rew,stat_par_diff,-0.11902598773626358,0.07399181923139518
34,rew,eq_opp_diff,-0.030820938298486266,0.08303372376483924
35,rew,theil_ind,0.10760865493140263,0.009461919638502512
36,rew,unpriv_fpr,0.22095700156296755,0.05643344533747911
37,rew,unpriv_fnr,0.3480490669787702,0.06172874503685609
38,rew,priv_fpr,0.2948822438922165,0.09959546747535578
39,rew,priv_fnr,0.31722812868028394,0.09484418001946313
40,eg,bal_acc,0.7046148236735006,0.023748262645681546
41,eg,disp_imp,0.3644411744536097,0.19782669345757406
42,eg,avg_odds_diff,-0.019855072594695506,0.14814764622076587
43,eg,stat_par_diff,-0.0758157935427858,0.13654120772055112
44,eg,eq_opp_diff,-0.014172646977454961,0.17471846511201258
45,eg,theil_ind,0.1136441036701669,0.00756981096008619
46,eg,unpriv_fpr,0.1757236874510164,0.09677215445342295
47,eg,unpriv_fnr,0.4156102933273392,0.13993718261233457
48,eg,priv_fpr,0.20126118566295248,0.06748075577371544
49,eg,priv_fnr,0.40143764634988416,0.08458949001539269
