,Method,Metric,Mean,Error
0,orig,bal_acc,0.8289514660644954,0.000572348564287029
1,orig,avg_odds_diff,0.13658895515513153,0.0015738634340272907
2,orig,disp_imp,0.614914837504611,0.008766453550103819
3,orig,stat_par_diff,0.3179046576622515,0.0031143236014049276
4,orig,eq_opp_diff,0.04426895504549231,0.012965340173774815
5,orig,theil_ind,0.06165637870137978,0.000624077361623341
6,orig,unpriv_fpr,0.35393047915171805,0.01959211279017993
7,orig,unpriv_fnr,0.16997234073526618,0.0018879914615008149
8,orig,priv_fpr,0.12502152388694737,0.009774499484459695
9,orig,priv_fnr,0.21424129578075846,0.011077348712274018
10,cpp,bal_acc,0.8281163486881935,0.000279566395920526
11,cpp,avg_odds_diff,0.12424878648507791,0.00044329568197435797
12,cpp,disp_imp,0.6057604006767586,0.00767160579254715
13,cpp,stat_par_diff,0.3075498848507624,0.004172237063736492
14,cpp,eq_opp_diff,0.026230075301704507,0.0079576951957059
15,cpp,theil_ind,0.06191873478028233,0.0005353859948109929
16,cpp,unpriv_fpr,0.3482643705652554,0.01842621272059143
17,cpp,unpriv_fnr,0.18624651459670113,0.00270428485201708
18,cpp,priv_fpr,0.1259968728968042,0.009581926160936826
19,cpp,priv_fnr,0.21247658989840565,0.010661980047722975
