,Method,Metric,Mean,Error
0,orig,bal_acc,0.7385431549562782,0.001233345836227917
1,orig,avg_odds_diff,-0.10471075922450826,0.02320884501351855
2,orig,disp_imp,0.3934229436399053,0.031349730056637326
3,orig,stat_par_diff,-0.1782780082009568,0.02294378207024464
4,orig,eq_opp_diff,-0.08105063704080998,0.020806540008315593
5,orig,theil_ind,0.10498405899109797,0.002609185040099493
6,orig,unpriv_fpr,0.20610164077413623,0.009731648825378003
7,orig,unpriv_fnr,0.2841428277423339,0.004279776124870967
8,orig,priv_fpr,0.3344725221823428,0.015879501193343505
9,orig,priv_fnr,0.20309219070152382,0.01652676388344463
10,cpp,bal_acc,0.72087699228835,0.002649261591691417
11,cpp,avg_odds_diff,-0.08568031585185468,0.016903435189755185
12,cpp,disp_imp,0.4456633371283408,0.018402070526635964
13,cpp,stat_par_diff,-0.1457800263693056,0.012028665461043595
14,cpp,eq_opp_diff,-0.07539583790314916,0.022349513052017295
15,cpp,theil_ind,0.13209225406395747,0.0016962379209818541
16,cpp,unpriv_fpr,0.12100795329780681,0.0021796019168516816
17,cpp,unpriv_fnr,0.426408040063113,0.007286357201841254
18,cpp,priv_fpr,0.21697274709836703,0.009277755410641398
19,cpp,priv_fnr,0.35101220215996387,0.015063155850176039
