,Method,Metric,Mean,Error
0,orig,bal_acc,0.6494740868212021,0.009549415907210394
1,orig,avg_odds_diff,0.10448777376190876,0.02324086868358212
2,orig,disp_imp,0.33013638443027365,0.03097344288615497
3,orig,stat_par_diff,0.14488623714142196,0.0199779755329044
4,orig,eq_opp_diff,0.10730696951511824,0.047871181897781924
5,orig,theil_ind,0.2725447045148832,0.016043981452921047
6,orig,unpriv_fpr,0.29179497478466543,0.016715374045218674
7,orig,unpriv_fnr,0.418147575939427,0.044019581553763155
8,orig,priv_fpr,0.19012639677596624,0.018104818575836363
9,orig,priv_fnr,0.5254545454545456,0.0038516003440187815
10,cpp,bal_acc,0.6429854461281501,0.02708567958293034
11,cpp,avg_odds_diff,0.06762107268504527,0.025214096172504374
12,cpp,disp_imp,0.3165707179444131,0.06591911254736851
13,cpp,stat_par_diff,0.11000857662397526,0.034273721757320595
14,cpp,eq_opp_diff,0.05539822180228725,0.019119200339313587
15,cpp,theil_ind,0.29896297355715334,0.05507241945624901
16,cpp,unpriv_fpr,0.24786004373633244,0.15563759618461517
17,cpp,unpriv_fnr,0.4779351115310462,0.10641444050277987
18,cpp,priv_fpr,0.168016120168529,0.18694658819031032
19,cpp,priv_fnr,0.5333333333333333,0.12553364084209345
