,Method,Metric,Mean Privacy Risk,Error
0,orig,entire_dataset_mia_privacy_risk,0.5685135135135135,0.001208685393243142
1,orig,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5738183374980029,0.000289901803865571
2,orig,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5814080004185778,0.00887585577581556
3,orig,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5675153281682703,0.008860855777566951
4,orig,subpopulation_1.0_label_1.0_mia_privacy_risk,0.616629482647458,0.022618784932422774
5,cpp,entire_dataset_mia_privacy_risk,0.5,0.0
6,cpp,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5,0.0
7,cpp,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5,0.0
8,cpp,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5,0.0
9,cpp,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5016457680250783,0.0073600983585416285
