,Method,Metric,Mean,Error
0,orig,bal_acc,0.60033541389588,0.0005823415870048916
1,orig,avg_odds_diff,-0.03848812825105933,0.0009049274952864314
2,orig,disp_imp,0.018217338217338182,0.03232606209230466
3,orig,stat_par_diff,-0.013921052631578956,0.01753548045512993
4,orig,eq_opp_diff,0.0300844988344988,0.05179702919907728
5,orig,theil_ind,0.08961136526203424,0.057738551180876715
6,orig,unpriv_fpr,0.6583333333333331,0.03726779962499649
7,orig,unpriv_fnr,0.02692307692307692,0.12040366032691174
8,orig,priv_fpr,0.7653940886699511,0.09087468381464663
9,orig,priv_fnr,0.05700757575757576,0.06860663112783447
10,cpp,bal_acc,0.5031336832355665,0.0140142574693565
11,cpp,avg_odds_diff,-0.00086106422313319,0.0038507962718377195
12,cpp,disp_imp,0.0031884057971014457,0.01425898420434647
13,cpp,stat_par_diff,-0.00231578947368421,0.010356525369472708
14,cpp,eq_opp_diff,-0.004020979020979021,0.017982364854019287
15,cpp,theil_ind,0.06512957026403676,0.03812693157242672
16,cpp,unpriv_fpr,0.9833333333333332,0.07453559924999299
17,cpp,unpriv_fnr,0.015384615384615385,0.06880209161537815
18,cpp,priv_fpr,0.9810344827586206,0.08481637156033685
19,cpp,priv_fnr,0.011363636363636364,0.050819726761358854
