,Method,Metric,Mean Privacy Risk,Error
0,orig,entire_dataset_mia_privacy_risk,0.5679166666666665,0.0055901699437494795
1,orig,subpopulation_0.0_label_0.0_mia_privacy_risk,0.6692307692307691,0.0114670152692297
2,orig,subpopulation_0.0_label_1.0_mia_privacy_risk,0.6060089910089912,0.009449118426397687
3,orig,subpopulation_1.0_label_0.0_mia_privacy_risk,0.7239603069344447,0.024307389202169478
4,orig,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5666175366543016,0.0016268865893529784
5,cpp,entire_dataset_mia_privacy_risk,0.5,0.0
6,cpp,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5,0.0
7,cpp,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5,0.0
8,cpp,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5,0.0
9,cpp,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5,0.0
