,Method,Metric,Mean,Error
0,orig,bal_acc,0.60033541389588,0.0005823415870048916
1,orig,avg_odds_diff,-0.025520328108281205,0.0225898541701707
2,orig,disp_imp,0.05031932699083861,0.026837937097810644
3,orig,stat_par_diff,-0.04351690811193617,0.012363474825343302
4,orig,eq_opp_diff,0.03821758554167938,0.029330655093227513
5,orig,theil_ind,0.08961136526203424,0.057738551180876715
6,orig,unpriv_fpr,0.6939560439560437,0.09091704963460684
7,orig,unpriv_fnr,0.021666666666666667,0.09689627902499089
8,orig,priv_fpr,0.783214285714286,0.07506799638749295
9,orig,priv_fnr,0.05988425220834601,0.06756562393176337
10,cpp,bal_acc,0.5762355984202451,0.0031921479662609105
11,cpp,avg_odds_diff,-0.07708314784007748,0.009027546887103043
12,cpp,disp_imp,0.24344199356024349,0.014808374460537168
13,cpp,stat_par_diff,-0.1012214596416682,0.008733688407103509
14,cpp,eq_opp_diff,-0.07136409787795713,0.03107834682997409
15,cpp,theil_ind,0.5585329988744958,0.07800818492277868
16,cpp,unpriv_fpr,0.2343406593406594,0.0896884408557608
17,cpp,unpriv_fnr,0.6183333333333334,0.05923618677236285
18,cpp,priv_fpr,0.31714285714285706,0.0766651877999928
19,cpp,priv_fnr,0.5469692354553761,0.09031453360233692
