,Method,Metric,Mean,Error
0,orig,bal_acc,0.5540784211452432,0.0012563291525564783
1,orig,avg_odds_diff,-0.4300527995101683,0.06867292721645449
2,orig,disp_imp,0.8614611466622893,0.02344064489959725
3,orig,stat_par_diff,-0.43461602284145107,0.06206666922931025
4,orig,eq_opp_diff,-0.44760419567437115,0.07486354758420348
5,orig,theil_ind,0.20781887046351014,0.01720273161524811
6,orig,unpriv_fpr,0.06664285714285714,0.00862483362749919
7,orig,unpriv_fnr,0.8944444444444446,0.024845199749997673
8,orig,priv_fpr,0.47914426048882275,0.053857473221206306
9,orig,priv_fnr,0.44684024877007344,0.05001834783420583
10,cpp,bal_acc,0.540415408988174,0.0035789053548518413
11,cpp,avg_odds_diff,-0.30458314452188956,0.07066597778130583
12,cpp,disp_imp,0.8568795541448775,0.0682793803126784
13,cpp,stat_par_diff,-0.2730754669739514,0.06065055664276439
14,cpp,eq_opp_diff,-0.35819618490671135,0.07806311946512424
15,cpp,theil_ind,0.26721242156030206,0.04665446293824564
16,cpp,unpriv_fpr,0.058750000000000024,0.08385254915624211
17,cpp,unpriv_fnr,0.9875,0.05590169943749474
18,cpp,priv_fpr,0.3097201041370681,0.14712138525372956
19,cpp,priv_fnr,0.6293038150932888,0.13396481890261897
