,Method,Metric,Mean,Error
0,orig,bal_acc,0.5272912147079475,0.004698551016931765
1,orig,avg_odds_diff,-0.027683219433688327,0.004330065108667842
2,orig,disp_imp,0.007075895667141885,0.001273200394834289
3,orig,stat_par_diff,0.006832999809414875,0.0020006138975362637
4,orig,eq_opp_diff,0.01179758665227761,0.002982701606238027
5,orig,theil_ind,0.025261643284355047,0.0016356234078486655
6,orig,unpriv_fpr,0.9328359744803458,0.011642831823573712
7,orig,unpriv_fnr,0.007202413347722404,0.0014894343487615645
8,orig,priv_fpr,1.0,0.0
9,orig,priv_fnr,0.019000000000000003,0.00447213595499958
10,cpp,bal_acc,0.5,0.0
11,cpp,avg_odds_diff,0.0,0.0
12,cpp,disp_imp,0.0,0.0
13,cpp,stat_par_diff,0.0,0.0
14,cpp,eq_opp_diff,0.0,0.0
15,cpp,theil_ind,0.018881859658133618,0.00026846301811321176
16,cpp,unpriv_fpr,1.0,0.0
17,cpp,unpriv_fnr,0.0,0.0
18,cpp,priv_fpr,1.0,0.0
19,cpp,priv_fnr,0.0,0.0
