,Method,Metric,Mean,Error
0,orig,bal_acc,0.837339056115997,0.01520194830041005
1,orig,avg_odds_diff,0.16161103219323197,0.039197193377497615
2,orig,disp_imp,0.566162620165249,0.03221616831032137
3,orig,stat_par_diff,0.3442682992016013,0.04615651669600162
4,orig,eq_opp_diff,0.043393308770988,0.05021601481602195
5,orig,theil_ind,0.0614556339030353,0.0038912675373618433
6,orig,unpriv_fpr,0.4634748960682957,0.06170807950539313
7,orig,unpriv_fnr,0.09216965713023231,0.044124856575519344
8,orig,priv_fpr,0.1836461404528198,0.009402339914101885
9,orig,priv_fnr,0.13556296590122033,0.03186916505357076
10,transf,bal_acc,0.824042272286144,0.010603426541981523
11,transf,avg_odds_diff,0.08342222124933465,0.06315862063841728
12,transf,disp_imp,0.5044756706559347,0.06234275188351017
13,transf,stat_par_diff,0.2755785006458085,0.062185862966348995
14,transf,eq_opp_diff,-0.0694166058696549,0.07584731265860147
15,transf,theil_ind,0.06477507739633878,0.003042746584101475
16,transf,unpriv_fpr,0.4256532886361878,0.07002856463508106
17,transf,unpriv_fnr,0.21135957159307267,0.08085217972319068
18,transf,priv_fpr,0.18939224026786355,0.030460087703349462
19,transf,priv_fnr,0.14194296572341777,0.04202264929795549
20,dir,bal_acc,0.8246657482209041,0.015680127592869197
21,dir,avg_odds_diff,0.15801070312878918,0.09250654068693526
22,dir,disp_imp,0.5664890375130431,0.0822569463270189
23,dir,stat_par_diff,0.35457043304768987,0.09692232277325898
24,dir,eq_opp_diff,-0.00799589863227072,0.0840553359997173
25,dir,theil_ind,0.06447057857815383,0.004171600939699994
26,dir,unpriv_fpr,0.5091539003252283,0.11349628018397526
27,dir,unpriv_fnr,0.1573437963532756,0.08216757476945856
28,dir,priv_fpr,0.1851365954353794,0.028830201977786803
29,dir,priv_fnr,0.14934789772100485,0.04982247176889877
30,rew,bal_acc,0.8354980544742826,0.00962484762583953
31,rew,avg_odds_diff,0.15210776093768233,0.03965366666534557
32,rew,disp_imp,0.5557893440614722,0.03929602130772516
33,rew,stat_par_diff,0.3345734368706111,0.04474318654300063
34,rew,eq_opp_diff,0.03202306490576181,0.04187959594815842
35,rew,theil_ind,0.06200304678408182,0.0027840029755400097
36,rew,unpriv_fpr,0.45958936458995925,0.046564990292531146
37,rew,unpriv_fnr,0.10215006348819267,0.0428604003794715
38,rew,priv_fpr,0.1873969076203565,0.010277378434952952
39,rew,priv_fnr,0.1341731283939545,0.023718322532009582
40,eg,bal_acc,0.7963444296122202,0.02292847042101076
41,eg,avg_odds_diff,0.06430877310691827,0.07941420902085067
42,eg,disp_imp,0.5663529416600263,0.11485301747386133
43,eg,stat_par_diff,0.21671204599459873,0.0715534256589783
44,eg,eq_opp_diff,-0.016279350908745306,0.11215736830982198
45,eg,theil_ind,0.06748114507213704,0.0059975142719529044
46,eg,unpriv_fpr,0.23242462270180111,0.059451221285417195
47,eg,unpriv_fnr,0.3276476139629368,0.08856002617974053
48,eg,priv_fpr,0.08752772557921923,0.015976394058326845
49,eg,priv_fnr,0.3113682630541915,0.06573990552255775
