,Method,Metric,Mean,Error
0,orig,bal_acc,0.6132025218001369,0.06090873916317465
1,orig,avg_odds_diff,-0.05485889815463842,0.09604964165663667
2,orig,disp_imp,0.1959084950142796,0.1899421623286169
3,orig,stat_par_diff,-0.0963352801579683,0.10216081884226438
4,orig,eq_opp_diff,-0.09147084765108163,0.1350099742087948
5,orig,theil_ind,0.3385589003746528,0.18340665626121164
6,orig,unpriv_fpr,0.41454545454545444,0.26441753606373025
7,orig,unpriv_fnr,0.42687983993131057,0.24858127980335007
8,orig,priv_fpr,0.43279240320364976,0.2291049234529947
9,orig,priv_fnr,0.33540899228022886,0.19773197172419849
10,transf,bal_acc,0.610996715806279,0.049386827641882604
11,transf,avg_odds_diff,-0.013485119451024739,0.1278749576314398
12,transf,disp_imp,0.18307797971615708,0.15539525067266843
13,transf,stat_par_diff,-0.047051358130733294,0.12698423242938162
14,transf,eq_opp_diff,-0.029772548301093587,0.1707673056838584
15,transf,theil_ind,0.37194651602135587,0.17000856227495934
16,transf,unpriv_fpr,0.39144300144300137,0.23131856098236075
17,transf,unpriv_fnr,0.4136425420984245,0.20334711250902796
18,transf,priv_fpr,0.38864069204395735,0.1837126798224997
19,transf,priv_fnr,0.38386999379733083,0.19243846457271535
20,dir,bal_acc,0.6101621882103936,0.04230787193002805
21,dir,avg_odds_diff,-0.03844989802826719,0.12630509143496801
22,dir,disp_imp,0.20015856890589473,0.18404874716939496
23,dir,stat_par_diff,-0.07371251038376488,0.12898633288714076
24,dir,eq_opp_diff,-0.05707841192903862,0.15151231779789984
25,dir,theil_ind,0.36802492851765933,0.19200268315588795
26,dir,unpriv_fpr,0.3825270562770563,0.2170962726979989
27,dir,unpriv_fnr,0.43041277350100876,0.24927395810411354
28,dir,priv_fpr,0.40234844040455203,0.22074716483437207
29,dir,priv_fnr,0.37333436157197025,0.19730632578537563
30,rew,bal_acc,0.6029241997056192,0.06194042326397071
31,rew,avg_odds_diff,-0.007146571851520641,0.14575577227246045
32,rew,disp_imp,0.2105439936798943,0.19078046200348694
33,rew,stat_par_diff,-0.053483439873448016,0.15300114835996706
34,rew,eq_opp_diff,-0.06566609762489722,0.17167423462110626
35,rew,theil_ind,0.3259100632190509,0.17200761910990411
36,rew,unpriv_fpr,0.5012590187590189,0.31748643667536375
37,rew,unpriv_fnr,0.39078684795596563,0.2605285981082617
38,rew,priv_fpr,0.4498860648371628,0.24999014262549224
39,rew,priv_fnr,0.32512075033106835,0.17865279806933398
40,eg,bal_acc,0.5810267074754696,0.05344540419302976
41,eg,avg_odds_diff,-0.00036468742987785243,0.1317375238359309
42,eg,disp_imp,0.11831064622401202,0.1333463151729392
43,eg,stat_par_diff,-0.02783042552313935,0.12251715065045889
44,eg,eq_opp_diff,-0.02694014734890372,0.13417566825301044
45,eg,theil_ind,0.16399515299456277,0.08953528480543341
46,eg,unpriv_fpr,0.7104743867243867,0.25681949448596425
47,eg,unpriv_fnr,0.17000261992909052,0.16381620790782067
48,eg,priv_fpr,0.6842636142352386,0.1851768691211126
49,eg,priv_fnr,0.14306247258018678,0.11789405970425247
