,Method,Metric,Mean,Error
0,orig,bal_acc,0.5717533602210553,0.014115222058539493
1,orig,avg_odds_diff,-0.016195328200561476,0.04937341195184405
2,orig,disp_imp,0.07692505871973819,0.05654420003240721
3,orig,stat_par_diff,-0.025638341447015232,0.050631439770672436
4,orig,eq_opp_diff,3.006139893407256e-05,0.053522637766866034
5,orig,theil_ind,0.17552966456573577,0.04762238512308278
6,orig,unpriv_fpr,0.46816183134726763,0.14200106491852232
7,orig,unpriv_fnr,0.37040759306987825,0.13818470329187627
8,orig,priv_fpr,0.5005825491473247,0.15964248762121444
9,orig,priv_fnr,0.3704376544688123,0.14343532956508567
10,transf,bal_acc,0.5754272596328598,0.014144345656778839
11,transf,avg_odds_diff,-0.0005378695132309819,0.03154993018608389
12,transf,disp_imp,0.048711645299905675,0.027487023394135095
13,transf,stat_par_diff,-0.006970216690249461,0.03258416347517764
14,transf,eq_opp_diff,0.008143397106318739,0.04001514136015602
15,transf,theil_ind,0.18226847810075988,0.03804022181691444
16,transf,unpriv_fpr,0.4543562875123971,0.11107638481081743
17,transf,unpriv_fnr,0.38524589055290714,0.10765220476183847
18,transf,priv_fpr,0.4635754236451778,0.13195002790365434
19,transf,priv_fnr,0.39338928765922593,0.11706081059689535
20,dir,bal_acc,0.570196477682652,0.01249182096963379
21,dir,avg_odds_diff,-0.025867035758629225,0.047526075851958664
22,dir,disp_imp,0.0804807618841617,0.05434376245816015
23,dir,stat_par_diff,-0.035212176596663085,0.046795585806115494
24,dir,eq_opp_diff,-0.009648627035246559,0.06062386438235579
25,dir,theil_ind,0.1718872452032068,0.03996836110580697
26,dir,unpriv_fpr,0.47804082462385067,0.10803476826245359
27,dir,unpriv_fnr,0.3640301123410924,0.11874604313271557
28,dir,priv_fpr,0.5201262691058626,0.12597846219674058
29,dir,priv_fnr,0.3543814853058459,0.1243178885998389
30,rew,bal_acc,0.572215310305624,0.015173323708784435
31,rew,avg_odds_diff,-0.005792119167582632,0.04100204681446941
32,rew,disp_imp,0.06155729662982329,0.04687361699390572
33,rew,stat_par_diff,-0.016308650175100435,0.040094016461536104
34,rew,eq_opp_diff,0.0129372713703685,0.0510431288548778
35,rew,theil_ind,0.17435826265262508,0.03657649057623153
36,rew,unpriv_fpr,0.47507506543887945,0.11435263741630215
37,rew,unpriv_fnr,0.35924593082891276,0.11174485854709132
38,rew,priv_fpr,0.4995965751444132,0.12434933098283718
39,rew,priv_fnr,0.37218320219928125,0.11809463119131412
40,eg,bal_acc,0.542974522540644,0.013978537341004403
41,eg,avg_odds_diff,0.0021975104690199867,0.10118222569923657
42,eg,disp_imp,0.22112378776238897,0.19387970310001948
43,eg,stat_par_diff,-0.002978579203361219,0.09691334377710072
44,eg,eq_opp_diff,0.01047063493242377,0.11222873869165402
45,eg,theil_ind,0.27918956442186216,0.01863580796210622
46,eg,unpriv_fpr,0.21795584247819194,0.07622329305394755
47,eg,unpriv_fnr,0.685708131278391,0.10026046743217262
48,eg,priv_fpr,0.22403145647257575,0.04368402369282847
49,eg,priv_fnr,0.6961787662108148,0.058026775668417845
