,Method,Metric,Mean,Error
0,orig,bal_acc,0.5554325162990583,0.008936416240983989
1,orig,avg_odds_diff,-0.6678043749015102,0.11443881046829053
2,orig,disp_imp,0.894633398274294,0.09462349631417785
3,orig,stat_par_diff,-0.6613731993463323,0.10916106373711791
4,orig,eq_opp_diff,-0.6913671067159883,0.1263096872724571
5,orig,theil_ind,0.1291765393590805,0.039635658659657846
6,orig,unpriv_fpr,0.07836730443535152,0.06717615633038507
7,orig,unpriv_fnr,0.9129592221503987,0.09459647428355472
8,orig,priv_fpr,0.7226089475223834,0.1167294273136775
9,orig,priv_fnr,0.22159211543441026,0.1136500182357332
10,transf,bal_acc,0.54432549715516,0.009209744409099588
11,transf,avg_odds_diff,-0.30657033962956637,0.1624603605275352
12,transf,disp_imp,0.46804035501418717,0.16680104918779196
13,transf,stat_par_diff,-0.31996959816772874,0.14628034252571312
14,transf,eq_opp_diff,-0.3101362572060623,0.19088918459536147
15,transf,theil_ind,0.1489434618113122,0.06438442807445628
16,transf,unpriv_fpr,0.3466073492610949,0.1432578438220055
17,transf,unpriv_fnr,0.5978257771640125,0.17942157725395816
18,transf,priv_fpr,0.6496117713141653,0.1969443586415569
19,transf,priv_fnr,0.28768951995795006,0.18654043667081716
20,dir,bal_acc,0.5559586366327837,0.012669636544900905
21,dir,avg_odds_diff,-0.6049124504137346,0.14018025874975107
22,dir,disp_imp,0.9098861366085169,0.12046823619939545
23,dir,stat_par_diff,-0.5997741840586231,0.12893833067160773
24,dir,eq_opp_diff,-0.6292659116033261,0.15537623982794999
25,dir,theil_ind,0.15157472030243027,0.05358118480276671
26,dir,unpriv_fpr,0.06978921178383982,0.10872926532592565
27,dir,unpriv_fnr,0.9167366946778712,0.13392842568736113
28,dir,priv_fpr,0.6503482010079829,0.16500083205091398
29,dir,priv_fnr,0.287470783074545,0.15498235655284287
30,rew,bal_acc,0.5458697748195049,0.010172541539031561
31,rew,avg_odds_diff,-0.24939946633173832,0.15241631314680906
32,rew,disp_imp,0.418637587593463,0.13658009278552605
33,rew,stat_par_diff,-0.2909126162180183,0.13882412067470146
34,rew,eq_opp_diff,-0.22168705629422486,0.18426330539679223
35,rew,theil_ind,0.14799862493767374,0.061517001839892636
36,rew,unpriv_fpr,0.3699368674323814,0.11462761160211699
37,rew,unpriv_fnr,0.5080152568020215,0.1557958168605358
38,rew,priv_fpr,0.6470487438016332,0.1897021626683976
39,rew,priv_fnr,0.2863282005077966,0.1808377883159374
40,eg,bal_acc,0.512888217457653,0.010106538324808421
41,eg,avg_odds_diff,0.0354775178542792,0.12292626250324629
42,eg,disp_imp,0.39650428586965847,0.26460846100145585
43,eg,stat_par_diff,0.02047182849755617,0.10254517812166164
44,eg,eq_opp_diff,0.04470550027225412,0.15328131956802885
45,eg,theil_ind,0.2984901134526928,0.08937301068178113
46,eg,unpriv_fpr,0.23238217969818012,0.2853667249193603
47,eg,unpriv_fnr,0.7213799558284852,0.29409603603049855
48,eg,priv_fpr,0.20613264426187577,0.27322894328335245
49,eg,priv_fnr,0.7660854561007395,0.2652725048341123
