,Method,Metric,Mean,Error
0,orig,bal_acc,0.5244508893048339,0.01912714860001484
1,orig,avg_odds_diff,0.0073034510892641905,0.030638298222237667
2,orig,disp_imp,0.014145467428308267,0.015902138367701355
3,orig,stat_par_diff,0.012108853444694234,0.0171176420403922
4,orig,eq_opp_diff,0.007886524202474954,0.013845855363893956
5,orig,theil_ind,0.02159756676172529,0.0044333176324582255
6,orig,unpriv_fpr,0.946913250978524,0.04248552984848781
7,orig,unpriv_fnr,0.005175219088552852,0.004383215389904713
8,orig,priv_fpr,0.9401928730024706,0.06880070132588476
9,orig,priv_fnr,0.013061743291027814,0.01714551454393076
10,transf,bal_acc,0.5244190039462542,0.01965042881447503
11,transf,avg_odds_diff,0.007055909806595076,0.030775101273327936
12,transf,disp_imp,0.014199438125696013,0.016134954223277997
13,transf,stat_par_diff,0.01216086612528745,0.017335498644488644
14,transf,eq_opp_diff,0.007997124179450431,0.013826104986264092
15,transf,theil_ind,0.02149590080728624,0.00443789073558995
16,transf,unpriv_fpr,0.9470093228221751,0.04253684901449066
17,transf,unpriv_fnr,0.005064619111577381,0.004409848769250935
18,transf,priv_fpr,0.9408946273884355,0.07291383234111416
19,transf,priv_fnr,0.013061743291027814,0.01714551454393076
20,dir,bal_acc,0.5221620813159655,0.019074682472223527
21,dir,avg_odds_diff,-0.01770284371904659,0.02567857195009649
22,dir,disp_imp,0.006366420894090957,0.006668511755246867
23,dir,stat_par_diff,-0.0033443154595276135,0.008653167838583307
24,dir,eq_opp_diff,-0.003986147500153447,0.006265702613794691
25,dir,theil_ind,0.022092195005708935,0.005120940051903755
26,dir,unpriv_fpr,0.9460986853008739,0.04643784864866822
27,dir,unpriv_fnr,0.006091272740412988,0.0062137834882068955
28,dir,priv_fpr,0.9775182252388135,0.038351189495297464
29,dir,priv_fnr,0.0021051252402595503,0.005314307802355568
30,rew,bal_acc,0.5283321697767347,0.02137918540856094
31,rew,avg_odds_diff,0.016973179937885382,0.0521404734972005
32,rew,disp_imp,0.0183518632513034,0.01986556099091914
33,rew,stat_par_diff,0.01631735605603881,0.021137311804667852
34,rew,eq_opp_diff,0.01016188345619518,0.016897756298108347
35,rew,theil_ind,0.021833112383070858,0.003918101866595246
36,rew,unpriv_fpr,0.9403834381733361,0.045508324167352274
37,rew,unpriv_fnr,0.005458804798269284,0.0036667768660479886
38,rew,priv_fpr,0.9165989617537607,0.10701790570978241
39,rew,priv_fnr,0.015620688254464474,0.019084730696586474
40,eg,bal_acc,0.5459971791463161,0.0440572665253793
41,eg,avg_odds_diff,-0.014385175862266456,0.03578548419897577
42,eg,disp_imp,0.01692012200751893,0.024053493798166056
43,eg,stat_par_diff,0.008741132990826666,0.02661815759648827
44,eg,eq_opp_diff,0.007142722107687532,0.022462028443836116
45,eg,theil_ind,0.030204251112632814,0.015444025381735529
46,eg,unpriv_fpr,0.888065684337714,0.10482510489962873
47,eg,unpriv_fnr,0.014820261055907297,0.016525178408490902
48,eg,priv_fpr,0.9239787581699348,0.12612332118548733
49,eg,priv_fnr,0.02196298316359483,0.03721801488258933
