,Method,Metric,Mean,Error
0,orig,bal_acc,0.5304449618806015,0.01646409545584126
1,orig,avg_odds_diff,0.010675114044868417,0.022914411047025563
2,orig,disp_imp,0.0038890209226232707,0.003010372804034702
3,orig,stat_par_diff,-0.0007384621845158368,0.004916466729635287
4,orig,eq_opp_diff,-0.0010838201441413398,0.0035564840208260695
5,orig,theil_ind,0.021957326036133575,0.004003277583889861
6,orig,unpriv_fpr,0.9445862655815954,0.03557934427052192
7,orig,unpriv_fnr,0.006469855598266819,0.005125128984357331
8,orig,priv_fpr,0.9221522173477175,0.04742703514360924
9,orig,priv_fnr,0.005386035454125492,0.003857879685352906
10,transf,bal_acc,0.5193328184241859,0.013118858057254726
11,transf,avg_odds_diff,0.00015732616921403653,0.017781730078940017
12,transf,disp_imp,0.0037015623990778847,0.00398487708502153
13,transf,stat_par_diff,-0.0019880550124883323,0.00506609970626678
14,transf,eq_opp_diff,-0.0015968977350649838,0.004086060688360488
15,transf,theil_ind,0.021103993859757728,0.00442141141187848
16,transf,unpriv_fpr,0.9576085490025912,0.03694586109620428
17,transf,unpriv_fnr,0.0054817130733520545,0.006042159023604104
18,transf,priv_fpr,0.9556969989290982,0.032144627539874356
19,transf,priv_fnr,0.0038848153382870796,0.004339082139956726
20,dir,bal_acc,0.5298941412985368,0.016847590161671595
21,dir,avg_odds_diff,0.004005536742092808,0.029825531329689268
22,dir,disp_imp,0.004365759468275637,0.004176440646998457
23,dir,stat_par_diff,-0.0022425153235876294,0.005637847618249006
24,dir,eq_opp_diff,-0.0020907563211933267,0.004840115377876273
25,dir,theil_ind,0.02255195795976312,0.004064257133751091
26,dir,unpriv_fpr,0.9384184165491047,0.03463558473451022
27,dir,unpriv_fnr,0.007646920695513903,0.005432452308700931
28,dir,priv_fpr,0.9283165867437256,0.057996466973664326
29,dir,priv_fnr,0.005556164374320567,0.004372870639474564
30,rew,bal_acc,0.5328136503549045,0.015563797027322903
31,rew,avg_odds_diff,0.010894969489995035,0.020347775352813405
32,rew,disp_imp,0.003540342321195944,0.002925051277337367
33,rew,stat_par_diff,-0.0007323599216929988,0.004578126011248013
34,rew,eq_opp_diff,-0.0010554210652165218,0.0031695802288980186
35,rew,theil_ind,0.021772246740368935,0.0031087244682315917
36,rew,unpriv_fpr,0.9401289202811801,0.03918969764611351
37,rew,unpriv_fnr,0.00632018977380588,0.0046157201653631245
38,rew,priv_fpr,0.9172835602359737,0.039372300629875914
39,rew,priv_fnr,0.005264768708589367,0.003293020300822263
40,eg,bal_acc,0.5354244901397947,0.02955523272869436
41,eg,avg_odds_diff,0.013173154776424213,0.03444270663343881
42,eg,disp_imp,0.007365119623296196,0.006496298470504076
43,eg,stat_par_diff,0.00023696563451816032,0.009791085430890474
44,eg,eq_opp_diff,-0.00032472656742491,0.0075042420365347175
45,eg,theil_ind,0.023799938937420495,0.008241221406518768
46,eg,unpriv_fpr,0.9338540537355892,0.0710361041985269
47,eg,unpriv_fnr,0.008123196430188339,0.008785928224675119
48,eg,priv_fpr,0.9071830176153156,0.07791271236023666
49,eg,priv_fnr,0.0077984698627634255,0.011232433680135285
