,Method,Metric,Mean,Error
0,orig,bal_acc,0.7125972051385399,0.01636564391616957
1,orig,avg_odds_diff,-0.0908792727221686,0.051401681401879486
2,orig,disp_imp,0.3816306686706274,0.08856250470350897
3,orig,stat_par_diff,-0.15224877992389305,0.05177384986361038
4,orig,eq_opp_diff,-0.07251574689511708,0.06152138757244584
5,orig,theil_ind,0.10917052151198484,0.005861221658395073
6,orig,unpriv_fpr,0.18819038594518836,0.044794904112397775
7,orig,unpriv_fnr,0.3889574207802048,0.06070831660969629
8,orig,priv_fpr,0.2974331844944085,0.07132580491497809
9,orig,priv_fnr,0.3164416738850877,0.048021201148950206
10,transf,bal_acc,0.7080386780160028,0.01587928041376885
11,transf,avg_odds_diff,-0.05296876246829878,0.04029456266815138
12,transf,disp_imp,0.3466230272962612,0.0807803750140858
13,transf,stat_par_diff,-0.1115772816228886,0.029127016578694608
14,transf,eq_opp_diff,-0.038288724184299607,0.07121214583519772
15,transf,theil_ind,0.11349127134398893,0.006641107396081933
16,transf,unpriv_fpr,0.15783417375076686,0.036284966269737595
17,transf,unpriv_fnr,0.42361492306303344,0.06590194247944758
18,transf,priv_fpr,0.22548297450306481,0.043609219332393645
19,transf,priv_fnr,0.3853261988787338,0.040643598580528
20,dir,bal_acc,0.721811698686903,0.020360020112539942
21,dir,avg_odds_diff,-0.1067754697844795,0.05712594139346273
22,dir,disp_imp,0.4144146588446135,0.10866440259361676
23,dir,stat_par_diff,-0.17200187336415643,0.06074744941445473
24,dir,eq_opp_diff,-0.08486094517059883,0.06615890335686556
25,dir,theil_ind,0.10551816754236512,0.007560004284407872
26,dir,unpriv_fpr,0.18546514120501031,0.056238831923382956
27,dir,unpriv_fnr,0.37375161576645427,0.06481081294918843
28,dir,priv_fpr,0.3141551356033706,0.07127594987886235
29,dir,priv_fnr,0.2888906705958553,0.0502635367785936
30,rew,bal_acc,0.7088423158471857,0.01748140623059759
31,rew,avg_odds_diff,-0.05266916988759266,0.03580791244422569
32,rew,disp_imp,0.33552022908090684,0.06532195273543014
33,rew,stat_par_diff,-0.12006301878809271,0.023710395669761544
34,rew,eq_opp_diff,-0.023913552129762632,0.057299339472270755
35,rew,theil_ind,0.11117363306256904,0.008551487380655134
36,rew,unpriv_fpr,0.18702442700479954,0.056930969078936355
37,rew,unpriv_fnr,0.3809757305757546,0.061298920401601474
38,rew,priv_fpr,0.26844921465022226,0.061863308337998114
39,rew,priv_fnr,0.35706217844599203,0.06305744810604562
40,eg,bal_acc,0.6980288600362919,0.018179738592085413
41,eg,avg_odds_diff,-0.02562178550319663,0.06399760093694253
42,eg,disp_imp,0.29678091744770896,0.16431001124883382
43,eg,stat_par_diff,-0.08285709962042417,0.05177170887383567
44,eg,eq_opp_diff,-0.01057497983046426,0.09090608478468686
45,eg,theil_ind,0.11826027522843052,0.008300684592316938
46,eg,unpriv_fpr,0.13985409664606513,0.03751756422896869
47,eg,unpriv_fnr,0.45701284482078125,0.06808474223670861
48,eg,priv_fpr,0.18052268782199413,0.031107640805563185
49,eg,priv_fnr,0.4464378649903171,0.05890042000451616
