,Method,Metric,Mean,Error
0,orig,bal_acc,0.5228172390904102,0.010055601603057965
1,orig,avg_odds_diff,-0.004215245079179986,0.00889424081137605
2,orig,disp_imp,0.002121281115899326,0.0011720145064534088
3,orig,stat_par_diff,-0.0012652017345365584,0.002088258339853136
4,orig,eq_opp_diff,-0.00043827415528933656,0.0016501950961879915
5,orig,theil_ind,0.01994594624165716,0.0015509042476459934
6,orig,unpriv_fpr,0.9465333027073252,0.022760345960781785
7,orig,unpriv_fnr,0.003970039204391392,0.002070987172202319
8,orig,priv_fpr,0.954525518710396,0.02337005276755191
9,orig,priv_fnr,0.0035317650491020506,0.0019557094651174675
10,transf,bal_acc,0.5110890367148462,0.005802770314644143
11,transf,avg_odds_diff,4.657006578608347e-05,0.009460318163896506
12,transf,disp_imp,0.0011876166743406246,0.0010666256659982417
13,transf,stat_par_diff,-0.00010717758957772272,0.0016137306220289354
14,transf,eq_opp_diff,0.0001342397820067065,0.0008877403923616659
15,transf,theil_ind,0.018059154600420808,0.000837706561120257
16,transf,unpriv_fpr,0.9765078057609637,0.015526819165553547
17,transf,unpriv_fnr,0.0012896777989060684,0.0011599780228189174
18,transf,priv_fpr,0.9765489054113985,0.015297673516493191
19,transf,priv_fnr,0.001423917580912767,0.0010993163790792098
20,dir,bal_acc,0.5250887370153127,0.009635124617660817
21,dir,avg_odds_diff,0.0029085636282937142,0.013745223819543769
22,dir,disp_imp,0.0016956665916805446,0.0011768925130301597
23,dir,stat_par_diff,-2.795777556572343e-05,0.002087863823416119
24,dir,eq_opp_diff,0.00019078180910784838,0.0012103874024864375
25,dir,theil_ind,0.020067303945805453,0.0011895337380561772
26,dir,unpriv_fpr,0.9489580793035,0.02070939579440213
27,dir,unpriv_fnr,0.0038165673740189524,0.001247593190520566
28,dir,priv_fpr,0.9433317338560204,0.027143293503819173
29,dir,priv_fnr,0.004007349183126811,0.0018819798350689489
30,rew,bal_acc,0.5246158242339745,0.0075459023004248015
31,rew,avg_odds_diff,-0.005955688175963636,0.012066089342413175
32,rew,disp_imp,0.0022014581128795897,0.0018814244027411976
33,rew,stat_par_diff,-0.00135796317797931,0.0025718941956084213
34,rew,eq_opp_diff,-0.0003316289617349089,0.002159324119429423
35,rew,theil_ind,0.019896074386616454,0.0011336759893160325
36,rew,unpriv_fpr,0.9409628005729435,0.021960797350437183
37,rew,unpriv_fnr,0.003915214139219865,0.0016065636982416306
38,rew,priv_fpr,0.9525425479631359,0.017771957482473878
39,rew,priv_fnr,0.003583585177484962,0.0017940654942080858
40,eg,bal_acc,0.5465719854705776,0.02518277834423152
41,eg,avg_odds_diff,-0.007216265109354458,0.0210536993247914
42,eg,disp_imp,0.003951902221132747,0.004141255162016733
43,eg,stat_par_diff,-0.0029766445760980365,0.004794536065922408
44,eg,eq_opp_diff,-0.0014916906815800267,0.004015015094665305
45,eg,theil_ind,0.025121442473259824,0.007218501270990091
46,eg,unpriv_fpr,0.8902151843346303,0.06629780321398893
47,eg,unpriv_fnr,0.010735184071073867,0.00938705653921353
48,eg,priv_fpr,0.9031560238717591,0.057144736098427164
49,eg,priv_fnr,0.009243493389493828,0.007868916423883758
