,Method,Metric,Mean,Error
0,orig,bal_acc,0.6795034121791697,0.005568568474881555
1,orig,disp_imp,0.38536956123925664,0.03369853857895715
2,orig,avg_odds_diff,0.17787437535833805,0.02363957548484727
3,orig,stat_par_diff,0.2057835662391148,0.019958821500069095
4,orig,eq_opp_diff,0.21293533661930336,0.028261259955737267
5,orig,theil_ind,0.2155654347000288,0.013242589527998417
6,orig,unpriv_fpr,0.35552321477387855,0.03666720536588597
7,orig,unpriv_fnr,0.27708104122954147,0.02571658904985279
8,orig,priv_fpr,0.21270980067650563,0.02321190104811659
9,orig,priv_fnr,0.4900163778488448,0.0375504138074038
10,transf,bal_acc,0.6795034121791697,0.005568568474881555
11,transf,disp_imp,0.38536956123925664,0.03369853857895715
12,transf,avg_odds_diff,0.17787437535833805,0.02363957548484727
13,transf,stat_par_diff,0.2057835662391148,0.019958821500069095
14,transf,eq_opp_diff,0.21293533661930336,0.028261259955737267
15,transf,theil_ind,0.2155654347000288,0.013242589527998417
16,transf,unpriv_fpr,0.35552321477387855,0.03666720536588597
17,transf,unpriv_fnr,0.27708104122954147,0.02571658904985279
18,transf,priv_fpr,0.21270980067650563,0.02321190104811659
19,transf,priv_fnr,0.4900163778488448,0.0375504138074038
20,dir,bal_acc,0.6780346498483963,0.0057609218685963645
21,dir,disp_imp,0.3115331331157239,0.06941135510469698
22,dir,avg_odds_diff,0.1343733922896522,0.042308882074377455
23,dir,stat_par_diff,0.16261935829571839,0.03926003104414265
24,dir,eq_opp_diff,0.16754090323877452,0.05022590660508161
25,dir,theil_ind,0.21585679207144443,0.014618239711560479
26,dir,unpriv_fpr,0.34226033116030935,0.04137224719647125
27,dir,unpriv_fnr,0.29073397047741617,0.032185073729470264
28,dir,priv_fpr,0.24105444981977966,0.0368499743856299
29,dir,priv_fnr,0.4582748737161907,0.0505531021464661
30,rew,bal_acc,0.6803276626984299,0.0047841761759371566
31,rew,disp_imp,0.2715228975747634,0.04342394817919954
32,rew,avg_odds_diff,0.1124459237725,0.021488204237305436
33,rew,stat_par_diff,0.14207526619044472,0.02045036408239037
34,rew,eq_opp_diff,0.1404957765590287,0.030000424636173677
35,rew,theil_ind,0.20886613307965937,0.014407179279644983
36,rew,unpriv_fpr,0.3454520718282189,0.03569817214283495
37,rew,unpriv_fnr,0.28465761787841304,0.02833986075144578
38,rew,priv_fpr,0.26105600084224756,0.03797158152138596
39,rew,priv_fnr,0.4251533944374417,0.04444874082720195
40,eg,bal_acc,0.6763596270657782,0.005611559387535579
41,eg,disp_imp,0.19569875085054736,0.07283131449872697
42,eg,avg_odds_diff,0.06784643107577104,0.039875475662480155
43,eg,stat_par_diff,0.09713490728611338,0.04049145835547
44,eg,eq_opp_diff,0.09573506093625364,0.047502171821168095
45,eg,theil_ind,0.22045699409009414,0.014642006966700335
46,eg,unpriv_fpr,0.3130111674868367,0.033954119748534635
47,eg,unpriv_fnr,0.32138395680163423,0.034640082125375296
48,eg,priv_fpr,0.2730533662715482,0.032646491446937057
49,eg,priv_fnr,0.4171190177378878,0.04047113955789197
