,Method,Metric,Mean Privacy Risk,Error
0,orig,entire_dataset_mia_privacy_risk,0.5243681140635127,0.0032682065881617507
1,orig,entire_dataset_label_0.0_mia_privacy_risk,0.5253217991072926,0.004290719353888827
2,orig,entire_dataset_label_1.0_mia_privacy_risk,0.5304844075216388,0.006630069075536073
3,orig,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5292352952279544,0.00461406975273026
4,orig,subpopulation_0.0_label_1.0_mia_privacy_risk,0.532703212894114,0.008036275939165675
5,orig,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5304676368259639,0.008632559764137761
6,orig,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5378361169465473,0.013606379793739165
7,transf,entire_dataset_mia_privacy_risk,0.5243681140635127,0.0032682065881617507
8,transf,entire_dataset_label_0.0_mia_privacy_risk,0.5253217991072926,0.004290719353888827
9,transf,entire_dataset_label_1.0_mia_privacy_risk,0.5304844075216388,0.006630069075536073
10,transf,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5292352952279544,0.00461406975273026
11,transf,subpopulation_0.0_label_1.0_mia_privacy_risk,0.532703212894114,0.008036275939165675
12,transf,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5304676368259639,0.008632559764137761
13,transf,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5378361169465473,0.013606379793739165
14,dir,entire_dataset_mia_privacy_risk,0.5267093324692158,0.004689448287454592
15,dir,entire_dataset_label_0.0_mia_privacy_risk,0.5278266359569715,0.010905233705894149
16,dir,entire_dataset_label_1.0_mia_privacy_risk,0.5342228151763175,0.015957501139617362
17,dir,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5313627842118873,0.015293947587087518
18,dir,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5368926932787563,0.019685782240973428
19,dir,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5336105617185087,0.01136971292069043
20,dir,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5392304413355321,0.015023334744980523
21,rew,entire_dataset_mia_privacy_risk,0.5248622812702528,0.003749414236055702
22,rew,entire_dataset_label_0.0_mia_privacy_risk,0.525374130330871,0.003848908436920439
23,rew,entire_dataset_label_1.0_mia_privacy_risk,0.530818001960313,0.006901114209308152
24,rew,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5296895202187096,0.005204040100053648
25,rew,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5327795895787609,0.008350569485727589
26,rew,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5288572068480399,0.007940569751147679
27,rew,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5388084965634348,0.013713770659763667
28,eg,entire_dataset_mia_privacy_risk,0.525947828904731,0.0035680780649189874
29,eg,entire_dataset_label_0.0_mia_privacy_risk,0.5263078182478197,0.0038012364846897774
30,eg,entire_dataset_label_1.0_mia_privacy_risk,0.5318662072504844,0.007319256829351952
31,eg,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5267614658721906,0.00480327625239016
32,eg,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5291838023147656,0.007302686945000404
33,eg,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5361774565152297,0.008318574633519387
34,eg,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5507568292296778,0.014091543677627659
