,Method,Metric,Mean,Error
0,orig,bal_acc,0.6795034121791697,0.005568568474881555
1,orig,disp_imp,0.43442378796664477,0.04802014540586694
2,orig,avg_odds_diff,0.1767322487444221,0.028647453389512974
3,orig,stat_par_diff,0.21911635969658838,0.02353557915458832
4,orig,eq_opp_diff,0.18012269798481545,0.04253913575454971
5,orig,theil_ind,0.2155654347000288,0.013242589527998417
6,orig,unpriv_fpr,0.33973493914398767,0.031683076353504314
7,orig,unpriv_fnr,0.3135830738891992,0.027187342692935556
8,orig,priv_fpr,0.166393139639959,0.028133715768605055
9,orig,priv_fnr,0.49370577187401465,0.04610367035632514
10,transf,bal_acc,0.6795034121791697,0.005568568474881555
11,transf,disp_imp,0.43442378796664477,0.04802014540586694
12,transf,avg_odds_diff,0.1767322487444221,0.028647453389512974
13,transf,stat_par_diff,0.21911635969658838,0.02353557915458832
14,transf,eq_opp_diff,0.18012269798481545,0.04253913575454971
15,transf,theil_ind,0.2155654347000288,0.013242589527998417
16,transf,unpriv_fpr,0.33973493914398767,0.031683076353504314
17,transf,unpriv_fnr,0.3135830738891992,0.027187342692935556
18,transf,priv_fpr,0.166393139639959,0.028133715768605055
19,transf,priv_fnr,0.49370577187401465,0.04610367035632514
20,dir,bal_acc,0.6792482395598063,0.006709652330926635
21,dir,disp_imp,0.37534427573211093,0.08393680782811745
22,dir,avg_odds_diff,0.14192427642948552,0.055209331914443424
23,dir,stat_par_diff,0.18539024934477355,0.05095768686676272
24,dir,eq_opp_diff,0.14204167187421035,0.06303983383720106
25,dir,theil_ind,0.2200392057457548,0.018891286722809954
26,dir,unpriv_fpr,0.323539190501811,0.045707489669756775
27,dir,unpriv_fnr,0.32866148698260933,0.04378906255881626
28,dir,priv_fpr,0.18173230951705036,0.03649697705598842
29,dir,priv_fnr,0.47070315885681985,0.0480897024474105
30,rew,bal_acc,0.6786081656232376,0.0056240067161408185
31,rew,disp_imp,0.2733646493742306,0.033661179104631136
32,rew,avg_odds_diff,0.09125648412581767,0.019232367473482823
33,rew,stat_par_diff,0.13566104624818695,0.017171434837087402
34,rew,eq_opp_diff,0.08866046884959303,0.030667216811838767
35,rew,theil_ind,0.21262513501754343,0.012614007350694942
36,rew,unpriv_fpr,0.3301764676134279,0.02987396313261922
37,rew,unpriv_fnr,0.3206527211878459,0.028159850636912055
38,rew,priv_fpr,0.2363239682113857,0.029086448576357987
39,rew,priv_fnr,0.4093131900374389,0.03249431008478796
40,eg,bal_acc,0.673933292303288,0.007182189992723763
41,eg,disp_imp,0.2185469382866994,0.13616625713825797
42,eg,avg_odds_diff,0.0432746980308379,0.06836457963210979
43,eg,stat_par_diff,0.08494980506962024,0.06787486214899878
44,eg,eq_opp_diff,0.04810332132624441,0.07802437238171522
45,eg,theil_ind,0.2469594109265815,0.012550852031312563
46,eg,unpriv_fpr,0.2549938573435578,0.024733966708280108
47,eg,unpriv_fnr,0.39884752481433083,0.022944354838302615
48,eg,priv_fpr,0.2165477826081265,0.0720569649506674
49,eg,priv_fnr,0.4469508461405751,0.07944020692541844
