,Method,Metric,Mean Privacy Risk,Error
0,orig,entire_dataset_mia_privacy_risk,0.5243681140635127,0.0032682065881617507
1,orig,entire_dataset_label_0.0_mia_privacy_risk,0.5253217991072926,0.004290719353888827
2,orig,entire_dataset_label_1.0_mia_privacy_risk,0.5304844075216388,0.006630069075536073
3,orig,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5268354512237623,0.005410234635961682
4,orig,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5313931089266329,0.00721334886685109
5,orig,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5368417418678108,0.013291128388153712
6,orig,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5520843881271527,0.01706316610176311
7,transf,entire_dataset_mia_privacy_risk,0.5243681140635127,0.0032682065881617507
8,transf,entire_dataset_label_0.0_mia_privacy_risk,0.5253217991072926,0.004290719353888827
9,transf,entire_dataset_label_1.0_mia_privacy_risk,0.5304844075216388,0.006630069075536073
10,transf,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5268354512237623,0.005410234635961682
11,transf,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5313931089266329,0.00721334886685109
12,transf,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5368417418678108,0.013291128388153712
13,transf,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5520843881271527,0.01706316610176311
14,dir,entire_dataset_mia_privacy_risk,0.5274222294232016,0.00454266593204824
15,dir,entire_dataset_label_0.0_mia_privacy_risk,0.5304822000100996,0.012379268030924574
16,dir,entire_dataset_label_1.0_mia_privacy_risk,0.533232419970091,0.019245510964927128
17,dir,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5315781137303216,0.014401502534128106
18,dir,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5327339440642411,0.022334016678790498
19,dir,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5508602229681381,0.015273259913407083
20,dir,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5616175894544387,0.0184684111169205
21,rew,entire_dataset_mia_privacy_risk,0.5243114063512638,0.003761554902358056
22,rew,entire_dataset_label_0.0_mia_privacy_risk,0.5247576511738667,0.0035531762015800104
23,rew,entire_dataset_label_1.0_mia_privacy_risk,0.531029862426825,0.006607119303471732
24,rew,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5268479988614205,0.004621894673660545
25,rew,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5313977394445117,0.00654735667704501
26,rew,subpopulation_1.0_label_0.0_mia_privacy_risk,0.535134506622698,0.012476641634733646
27,rew,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5526657890832136,0.016949482827849076
28,eg,entire_dataset_mia_privacy_risk,0.5235012961762799,0.004123561728607047
29,eg,entire_dataset_label_0.0_mia_privacy_risk,0.5247948098251835,0.003543026757980911
30,eg,entire_dataset_label_1.0_mia_privacy_risk,0.5315625135317767,0.007150774296023383
31,eg,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5266512027862125,0.004065082368173968
32,eg,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5310513788385698,0.007425065226214029
33,eg,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5367622550219081,0.011400873744946853
34,eg,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5532537314235386,0.015552781057765934
