,Method,Metric,Mean,Error
0,orig,bal_acc,0.6419055502371767,0.018517788409079246
1,orig,disp_imp,0.1285356794375725,0.06435002140492115
2,orig,avg_odds_diff,-0.06524394966968308,0.05272357265898542
3,orig,stat_par_diff,-0.10908896615201591,0.053387648871766856
4,orig,eq_opp_diff,-0.07086097361713846,0.06112354631518099
5,orig,theil_ind,0.11034242753592405,0.016105250728065124
6,orig,unpriv_fpr,0.5880513895788027,0.07624875041886812
7,orig,unpriv_fnr,0.14400092899119046,0.06751458225366498
8,orig,priv_fpr,0.6476783153010304,0.04022582217034985
9,orig,priv_fnr,0.07313995537405198,0.017724315325482694
10,transf,bal_acc,0.6427286068934399,0.020841416711103143
11,transf,disp_imp,0.08371831997348869,0.05161274845382339
12,transf,avg_odds_diff,-0.022277139786243853,0.047218956102195175
13,transf,stat_par_diff,-0.06973113055937266,0.045817597349757766
14,transf,eq_opp_diff,-0.0406476625645943,0.03966574295831577
15,transf,theil_ind,0.103336880284618,0.014743380826900403
16,transf,unpriv_fpr,0.6357046987809063,0.08577798044956751
17,transf,unpriv_fnr,0.10948693202469914,0.04579928079093317
18,transf,priv_fpr,0.6396113157887998,0.043331756860528585
19,transf,priv_fnr,0.06883926946010485,0.01892945920553205
20,dir,bal_acc,0.6488026798967508,0.020755763369232648
21,dir,disp_imp,0.10728361721862063,0.06730768142951252
22,dir,avg_odds_diff,-0.044609752418197826,0.061285772390506525
23,dir,stat_par_diff,-0.09111473326580792,0.056862041644486376
24,dir,eq_opp_diff,-0.052231426830491055,0.04885915626021669
25,dir,theil_ind,0.105686636807895,0.01229444157924762
26,dir,unpriv_fpr,0.5965438267877037,0.10572531210061882
27,dir,unpriv_fnr,0.12308877787371186,0.050430822359885163
28,dir,priv_fpr,0.6335319047936082,0.04394413338571771
29,dir,priv_fnr,0.07085735104322079,0.015977431132593076
30,rew,bal_acc,0.6498943648950818,0.020606350938711236
31,rew,disp_imp,0.10396078578701454,0.06614828795499635
32,rew,avg_odds_diff,-0.037392332776183014,0.05706036775797901
33,rew,stat_par_diff,-0.08668547107076305,0.05558322959785568
34,rew,eq_opp_diff,-0.05471486668687146,0.05338416452030477
35,rew,theil_ind,0.1054784969329045,0.018541110477181162
36,rew,unpriv_fpr,0.6062709234861564,0.09996522767202094
37,rew,unpriv_fnr,0.12483131470092017,0.06574791307102044
38,rew,priv_fpr,0.6263407223516508,0.041250288533019853
39,rew,priv_fnr,0.07011644801404868,0.020729239979919066
40,eg,bal_acc,0.6415850062838013,0.018167157357166893
41,eg,disp_imp,0.12824944838062477,0.06423675276101613
42,eg,avg_odds_diff,-0.06496385700035245,0.052763309548031094
43,eg,stat_par_diff,-0.10871396615201592,0.05324069080047632
44,eg,eq_opp_diff,-0.07081099236010983,0.061131117611871795
45,eg,theil_ind,0.11109382281680577,0.016139750208641696
46,eg,unpriv_fpr,0.5880513895788027,0.07624875041886812
47,eg,unpriv_fnr,0.14494432521760553,0.06747098359244742
48,eg,priv_fpr,0.6471681112193978,0.04076005959163512
49,eg,priv_fnr,0.07413333285749568,0.018065192747829553
