,Method,Metric,Mean Privacy Risk,Error
0,orig,entire_dataset_mia_privacy_risk,0.7445000000000002,0.01130207246947493
1,orig,entire_dataset_label_0.0_mia_privacy_risk,0.921945202879676,0.01430177833889316
2,orig,entire_dataset_label_1.0_mia_privacy_risk,0.7354150893476823,0.017957336048181324
3,orig,subpopulation_0.0_label_0.0_mia_privacy_risk,0.9394891810896701,0.016661227183421626
4,orig,subpopulation_0.0_label_1.0_mia_privacy_risk,0.8200263577078862,0.03558153701720512
5,orig,subpopulation_1.0_label_0.0_mia_privacy_risk,0.9200560417840059,0.017742459224467003
6,orig,subpopulation_1.0_label_1.0_mia_privacy_risk,0.7252826441998712,0.01733587365360528
7,transf,entire_dataset_mia_privacy_risk,0.74275,0.014052064841715929
8,transf,entire_dataset_label_0.0_mia_privacy_risk,0.9247232423134009,0.013900067273377276
9,transf,entire_dataset_label_1.0_mia_privacy_risk,0.7368572991526606,0.01935177755666908
10,transf,subpopulation_0.0_label_0.0_mia_privacy_risk,0.9385948701959735,0.016643428210844486
11,transf,subpopulation_0.0_label_1.0_mia_privacy_risk,0.807836292142456,0.028875888101080587
12,transf,subpopulation_1.0_label_0.0_mia_privacy_risk,0.9240894646197454,0.016994084497359487
13,transf,subpopulation_1.0_label_1.0_mia_privacy_risk,0.7280170576777363,0.019649484071135957
14,dir,entire_dataset_mia_privacy_risk,0.74455,0.011816469327528459
15,dir,entire_dataset_label_0.0_mia_privacy_risk,0.9213277270711199,0.015572244548426246
16,dir,entire_dataset_label_1.0_mia_privacy_risk,0.7362239863636776,0.01676667956698083
17,dir,subpopulation_0.0_label_0.0_mia_privacy_risk,0.9413555457357188,0.02232002412809203
18,dir,subpopulation_0.0_label_1.0_mia_privacy_risk,0.8199124628890019,0.027551815513059054
19,dir,subpopulation_1.0_label_0.0_mia_privacy_risk,0.919547712577851,0.018990490427788696
20,dir,subpopulation_1.0_label_1.0_mia_privacy_risk,0.7279275166330599,0.01653668972716025
21,rew,entire_dataset_mia_privacy_risk,0.7425499999999999,0.012857416454900142
22,rew,entire_dataset_label_0.0_mia_privacy_risk,0.9195018469458776,0.014260825787948862
23,rew,entire_dataset_label_1.0_mia_privacy_risk,0.7357598318752235,0.017592415552359183
24,rew,subpopulation_0.0_label_0.0_mia_privacy_risk,0.9276443224285605,0.017372291781668464
25,rew,subpopulation_0.0_label_1.0_mia_privacy_risk,0.8061383670158918,0.031187255937896688
26,rew,subpopulation_1.0_label_0.0_mia_privacy_risk,0.9206079805892449,0.019205032667573087
27,rew,subpopulation_1.0_label_1.0_mia_privacy_risk,0.7305383342710325,0.01781135079249158
28,eg,entire_dataset_mia_privacy_risk,0.7445000000000002,0.01130207246947493
29,eg,entire_dataset_label_0.0_mia_privacy_risk,0.921945202879676,0.01430177833889316
30,eg,entire_dataset_label_1.0_mia_privacy_risk,0.7354150893476823,0.017957336048181324
31,eg,subpopulation_0.0_label_0.0_mia_privacy_risk,0.9394891810896701,0.016661227183421626
32,eg,subpopulation_0.0_label_1.0_mia_privacy_risk,0.8200263577078862,0.03558153701720512
33,eg,subpopulation_1.0_label_0.0_mia_privacy_risk,0.9200560417840059,0.017742459224467003
34,eg,subpopulation_1.0_label_1.0_mia_privacy_risk,0.7252826441998712,0.01733587365360528
