,Method,Metric,Mean,Error
0,orig,bal_acc,0.6415093784052475,0.02072212617403472
1,orig,disp_imp,0.06303512189174645,0.04412524548921828
2,orig,avg_odds_diff,-0.03951154684358049,0.058012943849620406
3,orig,stat_par_diff,-0.05104807285773603,0.041534087576929904
4,orig,eq_opp_diff,-0.010707996436878003,0.0412704874344815
5,orig,theil_ind,0.10541602700204196,0.01924153333105287
6,orig,unpriv_fpr,0.5939456295981869,0.08199455730424522
7,orig,unpriv_fnr,0.08521507864641069,0.043063477130281344
8,orig,priv_fpr,0.6622607268484696,0.06686208317466885
9,orig,priv_fnr,0.07450708220953267,0.028419729814917957
10,transf,bal_acc,0.6495196440479564,0.019528439729633914
11,transf,disp_imp,0.044861560002727154,0.038195137633078885
12,transf,avg_odds_diff,-0.011385588646005184,0.049783764262613245
13,transf,stat_par_diff,-0.02968618381716408,0.03947374628660073
14,transf,eq_opp_diff,0.0030595112197317254,0.03635917086212076
15,transf,theil_ind,0.11660070616653914,0.016620713962630353
16,transf,unpriv_fpr,0.5891911864035512,0.05969374002730864
17,transf,unpriv_fnr,0.09222257252470205,0.03945646669349624
18,transf,priv_fpr,0.6150218749152934,0.062183575362934264
19,transf,priv_fnr,0.09528208374443375,0.022470626091142813
20,dir,bal_acc,0.6429052545268296,0.02822267690927791
21,dir,disp_imp,0.07420786956003168,0.052615733555413456
22,dir,avg_odds_diff,-0.04976620218738165,0.06847909003946281
23,dir,stat_par_diff,-0.060462372335117906,0.050398421826965314
24,dir,eq_opp_diff,-0.018276631492661555,0.04296346750737982
25,dir,theil_ind,0.10702107152876542,0.016086110085888526
26,dir,unpriv_fpr,0.5800946641432068,0.0955504222172915
27,dir,unpriv_fnr,0.0933892231577064,0.04300177492268382
28,dir,priv_fpr,0.6613504370253083,0.07773894668681014
29,dir,priv_fnr,0.07511259166504483,0.023553094087516668
30,rew,bal_acc,0.6421436381435726,0.021050154646145323
31,rew,disp_imp,0.04622987071118012,0.026981125143932787
32,rew,avg_odds_diff,-0.021874916004538593,0.03663053980229829
33,rew,stat_par_diff,-0.03796797402982882,0.02528900026753336
34,rew,eq_opp_diff,-0.005886916415742899,0.02439649932640509
35,rew,theil_ind,0.10710396642147373,0.019048662052344283
36,rew,unpriv_fpr,0.6103641411267794,0.06887716014926899
37,rew,unpriv_fnr,0.08442599779007108,0.02732368537077682
38,rew,priv_fpr,0.6482270567201137,0.060774825660055785
39,rew,priv_fnr,0.07853908137432816,0.029853445514200255
40,eg,bal_acc,0.6418709849304683,0.019807581640315156
41,eg,disp_imp,0.06480004147953178,0.045438012110046326
42,eg,avg_odds_diff,-0.04031315313040576,0.057588633208998444
43,eg,stat_par_diff,-0.05208821490818112,0.0423074088957096
44,eg,eq_opp_diff,-0.012005973121379642,0.042842721380628175
45,eg,theil_ind,0.1092916386777407,0.018857115297141014
46,eg,unpriv_fpr,0.5877168972912448,0.08369219937961742
47,eg,unpriv_fnr,0.09155901436852713,0.04603933695487684
48,eg,priv_fpr,0.6563372304306767,0.06686942948959783
49,eg,priv_fnr,0.07955304124714749,0.02710843832272147
