,Method,Metric,Mean Privacy Risk,Error
0,orig,entire_dataset_mia_privacy_risk,0.74655,0.011949344840001192
1,orig,entire_dataset_label_0.0_mia_privacy_risk,0.9223088771269318,0.018719458581346944
2,orig,entire_dataset_label_1.0_mia_privacy_risk,0.742556818703807,0.018726169419234905
3,orig,subpopulation_0.0_label_0.0_mia_privacy_risk,0.9312000177677779,0.01956136594488075
4,orig,subpopulation_0.0_label_1.0_mia_privacy_risk,0.7714733935720799,0.034907408817567896
5,orig,subpopulation_1.0_label_0.0_mia_privacy_risk,0.923229879263735,0.023430387469883296
6,orig,subpopulation_1.0_label_1.0_mia_privacy_risk,0.7375044030116217,0.02206170230702952
7,transf,entire_dataset_mia_privacy_risk,0.7555499999999999,0.012767042273802213
8,transf,entire_dataset_label_0.0_mia_privacy_risk,0.9215370584272898,0.013527724618068417
9,transf,entire_dataset_label_1.0_mia_privacy_risk,0.7457737813851093,0.017072059091469347
10,transf,subpopulation_0.0_label_0.0_mia_privacy_risk,0.9334529984420895,0.025783330737364257
11,transf,subpopulation_0.0_label_1.0_mia_privacy_risk,0.7670514397485967,0.029685083623335468
12,transf,subpopulation_1.0_label_0.0_mia_privacy_risk,0.9204436669584144,0.021441400695288215
13,transf,subpopulation_1.0_label_1.0_mia_privacy_risk,0.7410027830184657,0.020144426660982886
14,dir,entire_dataset_mia_privacy_risk,0.7483999999999998,0.012906138890180576
15,dir,entire_dataset_label_0.0_mia_privacy_risk,0.9206903561521343,0.019496076932117214
16,dir,entire_dataset_label_1.0_mia_privacy_risk,0.7448860674821696,0.018018438097839352
17,dir,subpopulation_0.0_label_0.0_mia_privacy_risk,0.929841775292295,0.02178503013683981
18,dir,subpopulation_0.0_label_1.0_mia_privacy_risk,0.7717077467951833,0.030703707007595577
19,dir,subpopulation_1.0_label_0.0_mia_privacy_risk,0.9240785342124681,0.02336789886670457
20,dir,subpopulation_1.0_label_1.0_mia_privacy_risk,0.7413627718526181,0.025763124162958142
21,rew,entire_dataset_mia_privacy_risk,0.74655,0.01239896005825955
22,rew,entire_dataset_label_0.0_mia_privacy_risk,0.9217903798994271,0.01863749872736817
23,rew,entire_dataset_label_1.0_mia_privacy_risk,0.7462356794911796,0.01467733042293934
24,rew,subpopulation_0.0_label_0.0_mia_privacy_risk,0.9241257643056153,0.02414910203798724
25,rew,subpopulation_0.0_label_1.0_mia_privacy_risk,0.7754195786748745,0.02948352024302209
26,rew,subpopulation_1.0_label_0.0_mia_privacy_risk,0.9258464495560288,0.02216461687892431
27,rew,subpopulation_1.0_label_1.0_mia_privacy_risk,0.740910060962117,0.018600339330350088
28,eg,entire_dataset_mia_privacy_risk,0.7465000000000002,0.011962661207185244
29,eg,entire_dataset_label_0.0_mia_privacy_risk,0.9212992702954071,0.019505508883007294
30,eg,entire_dataset_label_1.0_mia_privacy_risk,0.7433630464560032,0.01855436405747557
31,eg,subpopulation_0.0_label_0.0_mia_privacy_risk,0.9307098216893467,0.019719148000472423
32,eg,subpopulation_0.0_label_1.0_mia_privacy_risk,0.7718900602387466,0.03483497296337047
33,eg,subpopulation_1.0_label_0.0_mia_privacy_risk,0.9226871161058403,0.02384615250022883
34,eg,subpopulation_1.0_label_1.0_mia_privacy_risk,0.7378087711160959,0.022062692285451442
