,Method,Metric,Mean,Error
0,orig,bal_acc,0.604465038902247,0.0026589192695125195
1,orig,disp_imp,0.06096472668838824,0.03828365156904653
2,orig,avg_odds_diff,-0.016695849360837428,0.02053848168348647
3,orig,stat_par_diff,-0.03139557384980259,0.019147135026435978
4,orig,eq_opp_diff,0.007591682907593706,0.025177097144564644
5,orig,theil_ind,0.16765815146099852,0.017729316494585066
6,orig,unpriv_fpr,0.4247123021918379,0.05752907893868662
7,orig,unpriv_fnr,0.3390907189362768,0.06357885659124542
8,orig,priv_fpr,0.4656956838211065,0.0548670098494004
9,orig,priv_fnr,0.34668240184387045,0.04995078573784918
10,transf,bal_acc,0.6045834274625101,0.0025557900405263796
11,transf,disp_imp,0.030750580381906933,0.02513008104537684
12,transf,avg_odds_diff,0.0066521283735429,0.0201048842255477
13,transf,stat_par_diff,-0.008386306944948496,0.01823755851154031
14,transf,eq_opp_diff,0.031723904862267845,0.026235116861168348
15,transf,theil_ind,0.1761405147459672,0.012783581419172895
16,transf,unpriv_fpr,0.41035000531685323,0.04519837102822429
17,transf,unpriv_fnr,0.3517227991757773,0.04523694829817861
18,transf,priv_fpr,0.42876965343203527,0.04321089053006879
19,transf,priv_fnr,0.38344670403804526,0.04185802628177229
20,dir,bal_acc,0.6046168633304163,0.0025307781924385785
21,dir,disp_imp,0.09273091132493907,0.05618323662087157
22,dir,avg_odds_diff,-0.014286484553474074,0.050501369731979204
23,dir,stat_par_diff,-0.028507654096588363,0.0497661601880796
24,dir,eq_opp_diff,0.008811014635443514,0.052145289394635155
25,dir,theil_ind,0.17439947582768037,0.013410182261296451
26,dir,unpriv_fpr,0.4055840183850754,0.0476250671944578
27,dir,unpriv_fnr,0.3591272006494005,0.05343141287337873
28,dir,priv_fpr,0.442968002127467,0.046177407932921105
29,dir,priv_fnr,0.36793821528484394,0.04416741722970785
30,rew,bal_acc,0.604656476972689,0.002460511837290282
31,rew,disp_imp,0.028176584320125986,0.023537875873788458
32,rew,avg_odds_diff,0.003058299457581309,0.016887635362058225
33,rew,stat_par_diff,-0.011519078640153762,0.01452090208656445
34,rew,eq_opp_diff,0.026967806407576338,0.024150162340773395
35,rew,theil_ind,0.16678946722404736,0.017019388196079836
36,rew,unpriv_fpr,0.43850207094731697,0.052571554916090654
37,rew,unpriv_fnr,0.3248342516843786,0.05800842626491757
38,rew,priv_fpr,0.4593532784397307,0.053279229596544776
39,rew,priv_fnr,0.35180205809195497,0.04780609996444758
40,eg,bal_acc,0.5060194683281872,0.009671779319272239
41,eg,disp_imp,0.5357137158078485,0.2662257194265299
42,eg,avg_odds_diff,-0.0015227106994131095,0.044938694619810836
43,eg,stat_par_diff,-0.0021097855372414474,0.03925068734317893
44,eg,eq_opp_diff,-0.0005944496407309832,0.05921673385377771
45,eg,theil_ind,0.349985714280744,0.01220058944142194
46,eg,unpriv_fpr,0.01003728609491145,0.016216725256324508
47,eg,unpriv_fnr,0.9768401374059984,0.03743173429849958
48,eg,priv_fpr,0.012488257853006685,0.032890208207889904
49,eg,priv_fnr,0.9762456877652672,0.05820147688365438
