,Method,Metric,Mean Privacy Risk,Error
0,orig,entire_dataset_mia_privacy_risk,0.5037754005908155,0.0020377084233218564
1,orig,entire_dataset_label_0.0_mia_privacy_risk,0.5056409089019319,0.0018358484795601693
2,orig,entire_dataset_label_1.0_mia_privacy_risk,0.5095174946710441,0.003031036411439687
3,orig,subpopulation_0.0_label_0.0_mia_privacy_risk,0.506926047269555,0.004395078457591729
4,orig,subpopulation_0.0_label_1.0_mia_privacy_risk,0.514809100846949,0.006857673030198331
5,orig,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5082361598422076,0.0033508858749392223
6,orig,subpopulation_1.0_label_1.0_mia_privacy_risk,0.51102871115889,0.006271689800168412
7,transf,entire_dataset_mia_privacy_risk,0.5037910661534329,0.0021253821761954314
8,transf,entire_dataset_label_0.0_mia_privacy_risk,0.5056900195521402,0.001725846639221925
9,transf,entire_dataset_label_1.0_mia_privacy_risk,0.5092615998289698,0.002979476597326174
10,transf,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5069229055495037,0.00424559080821018
11,transf,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5138613406295751,0.006218102748819676
12,transf,subpopulation_1.0_label_0.0_mia_privacy_risk,0.508527628624676,0.0030134793141748536
13,transf,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5110628575853375,0.006155063816888244
14,dir,entire_dataset_mia_privacy_risk,0.5089338465670038,0.0030915920490378877
15,dir,entire_dataset_label_0.0_mia_privacy_risk,0.5103597800711482,0.006966659690801479
16,dir,entire_dataset_label_1.0_mia_privacy_risk,0.5173864912082968,0.007287821470542062
17,dir,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5151845288440464,0.015926741838843704
18,dir,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5201773508355128,0.01189073313907647
19,dir,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5136404018280113,0.01105936995410287
20,dir,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5258224636381079,0.011132445187557358
21,rew,entire_dataset_mia_privacy_risk,0.5038470145913526,0.002076214715828507
22,rew,entire_dataset_label_0.0_mia_privacy_risk,0.5056838342556131,0.001854734856691931
23,rew,entire_dataset_label_1.0_mia_privacy_risk,0.5096127383196611,0.003409647205217293
24,rew,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5069489251221585,0.004411861145038159
25,rew,subpopulation_0.0_label_1.0_mia_privacy_risk,0.5149756961467966,0.006849085025523255
26,rew,subpopulation_1.0_label_0.0_mia_privacy_risk,0.5082346814160714,0.003237114321043176
27,rew,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5110274716499796,0.0060064618522695365
28,eg,entire_dataset_mia_privacy_risk,0.503905200966789,0.00221715184607847
29,eg,entire_dataset_label_0.0_mia_privacy_risk,0.5058128184785744,0.002190178648916674
30,eg,entire_dataset_label_1.0_mia_privacy_risk,0.5092613061229141,0.003431020044143179
31,eg,subpopulation_0.0_label_0.0_mia_privacy_risk,0.5070080665573233,0.004418025501584995
32,eg,subpopulation_0.0_label_1.0_mia_privacy_risk,0.514975478518923,0.006961669833539602
33,eg,subpopulation_1.0_label_0.0_mia_privacy_risk,0.508144962907774,0.003242682728442452
34,eg,subpopulation_1.0_label_1.0_mia_privacy_risk,0.5109855538301094,0.006256641570488774
