,Method,Metric,Mean,Error
0,orig,bal_acc,0.6037405237922957,0.0030349334371169074
1,orig,disp_imp,0.8015979134209997,0.34038334951995
2,orig,avg_odds_diff,-0.5394028554293666,0.058956331899071845
3,orig,stat_par_diff,-0.5147912856921012,0.06231521031135698
4,orig,eq_opp_diff,-0.6176775197486204,0.05383496879288845
5,orig,theil_ind,0.17786057066895766,0.018521743665784747
6,orig,unpriv_fpr,0.0033377898997807042,0.004992072915012825
7,orig,unpriv_fnr,0.9826785067284651,0.014182889359802778
8,orig,priv_fpr,0.4644659810098937,0.06681843016091589
9,orig,priv_fnr,0.36500098697984507,0.059418170578844826
10,transf,bal_acc,0.597888152084795,0.0033921236102643147
11,transf,disp_imp,0.7115073180144728,0.04694306125357337
12,transf,avg_odds_diff,-0.3255062828438233,0.04505529063627766
13,transf,stat_par_diff,-0.3657766250511841,0.04586042403811707
14,transf,eq_opp_diff,-0.3288503891309931,0.058569128013349195
15,transf,theil_ind,0.17890477348347233,0.01637263035015596
16,transf,unpriv_fpr,0.13796188875698806,0.026119080878356273
17,transf,unpriv_fnr,0.7004084497087957,0.07055688569908398
18,transf,priv_fpr,0.4601240653136416,0.05387313761572042
19,transf,priv_fnr,0.3715580605778025,0.05032041842515224
20,dir,bal_acc,0.6050140380999399,0.00347550370764746
21,dir,disp_imp,0.7893150971147199,0.35693047681287815
22,dir,avg_odds_diff,-0.5747421281319782,0.06142951870942379
23,dir,stat_par_diff,-0.5517662954046577,0.06191142760522035
24,dir,eq_opp_diff,-0.6508946960240769,0.06070303969660392
25,dir,theil_ind,0.16613326373591186,0.0189755101294379
26,dir,unpriv_fpr,0.004153344786854703,0.005196480721396893
27,dir,unpriv_fnr,0.9783635492675856,0.01649880700427688
28,dir,priv_fpr,0.5027429050267342,0.06394124671231245
29,dir,priv_fnr,0.3274688532435089,0.05972158338449802
30,rew,bal_acc,0.5992968469749036,0.0033000164127326673
31,rew,disp_imp,0.7135090587344067,0.05631814823579568
32,rew,avg_odds_diff,-0.3276177163016739,0.04704085978945861
33,rew,stat_par_diff,-0.36941447377961173,0.04857132038820338
34,rew,eq_opp_diff,-0.3299355987309344,0.06116334063966751
35,rew,theil_ind,0.17746340801740793,0.012464358954708755
36,rew,unpriv_fpr,0.13679675170322325,0.028015275278002856
37,rew,unpriv_fnr,0.6970059271434929,0.05977783662213223
38,rew,priv_fpr,0.4620965855756367,0.04268760077608171
39,rew,priv_fnr,0.36707032841255854,0.03872328419499775
40,eg,bal_acc,0.5008520327288942,0.0012799458227297305
41,eg,disp_imp,0.4816247803834696,0.18991667976679558
42,eg,avg_odds_diff,-0.001411297031797078,0.003938315186286607
43,eg,stat_par_diff,-0.0015708309226938715,0.0028413884112386003
44,eg,eq_opp_diff,-0.0017170430448088276,0.006104994011757444
45,eg,theil_ind,0.3562309864188714,0.004717417220641512
46,eg,unpriv_fpr,0.0001243781094527363,0.0005562358152984551
47,eg,unpriv_fnr,0.9988636363636363,0.005081972676135881
48,eg,priv_fpr,0.0012299291282380643,0.0021219195588140197
49,eg,priv_fnr,0.9971465933188275,0.004485990457862213
